"session","period","group","game","Type","message","any_suggestion","suggest_safe","suggest_efficient","agree_proposal","discuss_coordinate","discuss_fairness","discuss_efficient","discuss_rules","discuss_howtoplay","explanation","ask_game","receive_report","truthful","falsehood","contradict","disagreement","neither_report","Subject"
"29","1","1","4","1","f3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","2","pero son 54 y 26","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","2","que es lo mismo si elegimos 40","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","2","son 80","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","2","decidamos","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","1","ha habido un momento que yo he ganado 50 y tu 26 y luego te ha tocado lo mismo y has cogido tu 50 y yo 26 tb","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","lo que quieras","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","2","vale","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","2","el a se estara aburriendo maximo","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","2","jajajaja","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","1","1","4","1","jajajaj ademas de verdad","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","pero y lo que va a ganar?","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","no 3 como tu antes","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"29","1","1","4","2","c1 y f1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"29","1","1","4","1","yo creo que f3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"29","1","1","4","2","claro , o ganas tu más o ganamos igual XD","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"29","1","1","4","1","cuando toque juego 1 ponemos f1 y c1 y compensa","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"29","1","1","4","2","pero no sabes cuando va a salir","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"29","1","1","4","2","esa esa","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","1","1","4","2","ganamos todos","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","1","1","4","2","el A mas","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
