"obn","time","session","period","group","game","subjectid","subject","message","messagecode","late","type","strategy1","strategy2","payoff_1","payoff_2","payoff_manager","surplus_babbling"
"-999","0","2","10","1","4","221","21","","-999","1","0","1","1","14","42","56","72"
"736","4","1","10","1","4","124","24","¿En qué juego estamos?","¿En qué juego estamos?","1","0","4","4","47","33","80","72"
"737","6","1","10","1","4","117","17","Es el juego: 4","Es el juego 4","1","1","4","4","47","33","80","72"
"738","7","1","10","1","4","103","3","Es el juego: 4","Es el juego 4","1","2","4","4","47","33","80","72"
"739","11","1","10","1","4","117","17","C está diciendo la verdad","C está diciendo la verdad","1","1","4","4","47","33","80","72"
"740","8","1","10","2","5","123","23","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","54","26","80","64"
"741","8","1","10","2","5","116","16","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"742","11","1","10","2","5","123","23","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"743","11","1","10","2","5","102","2","Es el juego: 3","Es el juego 3","1","2","5","5","54","26","80","64"
"744","13","1","10","2","5","102","2","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","54","26","80","64"
"745","28","1","10","2","5","123","23","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"746","30","1","10","2","5","102","2","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","54","26","80","64"
"747","39","1","10","2","5","116","16","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","54","26","80","64"
"748","44","1","10","2","5","102","2","F está mintiendo","F está mintiendo","1","2","5","5","54","26","80","64"
"749","5","1","10","3","3","121","21","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","40","40","80","80"
"750","6","1","10","3","3","121","21","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","40","40","80","80"
"751","12","1","10","3","3","107","7","Es el juego: 3","Es el juego 3","1","2","3","3","40","40","80","80"
"752","13","1","10","3","3","114","14","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"753","14","1","10","3","3","107","7","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","3","3","40","40","80","80"
"754","17","1","10","3","3","107","7","F está diciendo la verdad","F está diciendo la verdad","1","2","3","3","40","40","80","80"
