"","session","period","group","game","global_group","Type","message","coordinate","coordinate_safe","coordinate_efficient","coordinate_other","any_suggestion","suggest_safe","suggest_efficient","last_suggest_efficient","agree_proposal","discuss_coordinate","discuss_fairness","discuss_efficient","discuss_rules","discuss_howtoplay","explanation","ask_game","receive_report","truthful","falsehood","contradict","disagreement","neither_report","Subject"
"1","29","1","1","4","2901","1","f3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"2","29","1","1","4","2901","2","pero son 54 y 26","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"3","29","1","1","4","2901","2","que es lo mismo si elegimos 40","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"4","29","1","1","4","2901","2","son 80","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"5","29","1","1","4","2901","2","decidamos","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"6","29","1","1","4","2901","1","ha habido un momento que yo he ganado 50 y tu 26 y luego te ha tocado lo mismo y has cogido tu 50 y yo 26 tb","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"7","29","1","1","4","2901","1","lo que quieras","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"8","29","1","1","4","2901","2","vale","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"9","29","1","1","4","2901","2","el a se estara aburriendo maximo","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"10","29","1","1","4","2901","2","jajajaja","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"11","29","1","1","4","2901","1","jajajaj ademas de verdad","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"12","29","1","1","4","2901","1","pero y lo que va a ganar?","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"13","29","1","1","4","2901","1","no 3 como tu antes","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"14","29","1","1","4","2901","2","c1 y f1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"15","29","1","1","4","2901","1","yo creo que f3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"16","29","1","1","4","2901","2","claro , o ganas tu más o ganamos igual XD","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"17","29","1","1","4","2901","1","cuando toque juego 1 ponemos f1 y c1 y compensa","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"18","29","1","1","4","2901","2","pero no sabes cuando va a salir","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"19","29","1","1","4","2901","2","esa esa","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"20","29","1","1","4","2901","2","ganamos todos","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"21","29","1","1","4","2901","2","el A mas","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"22","29","1","1","4","2901","0","c3 f3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","26"
"23","29","1","1","4","2901","1","vale","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"24","29","1","1","4","2901","1","sii esa","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"25","29","1","1","4","2901","1","C3 F3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"26","29","1","1","4","2901","1","lo he mirado ahora","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
