"session","period","group","game","global_group","coordinate","coordinate_safe","coordinate_efficient","coordinate_other","any_suggestion","suggest_safe","suggest_efficient","last_suggest_efficient","agree_proposal","discuss_coordinate","discuss_fairness","discuss_efficient","discuss_rules","discuss_howtoplay","explanation","ask_game","receive_report","truthful","falsehood","contradict","disagreement","neither_report","message","subject","type"
29,1,1,4,2901,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"f3",16,1
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"HOLA",16,1
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"hola",6,2
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"F2",16,1
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y TU?",16,1
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"c2",6,2
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"bien?",6,2
29,2,1,2,2901,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"perfecto",16,1
29,3,1,5,2901,0,0,0,0,1,0,1,1,1,0,0.33333334,0,0,0,0,0,0,0,0,0,0,1,"di tu primero",16,1
29,3,1,5,2901,0,0,0,0,1,0,1,1,1,0,0.33333334,0,0,0,0,0,0,0,0,0,0,1,"c1",6,2
29,3,1,5,2901,0,0,0,0,1,0,1,1,1,0,0.33333334,0,0,0,0,0,0,0,0,0,0,1,"f1",16,1
29,3,1,5,2901,0,0,0,0,1,0,1,1,1,0,0.33333334,0,0,0,0,0,0,0,0,0,0,1,"vale bien",6,2
29,3,1,5,2901,0,0,0,0,1,0,1,1,1,0,0.33333334,0,0,0,0,0,0,0,0,0,0,1,"mejor la f5",16,1
29,3,1,5,2901,0,0,0,0,1,0,1,1,1,0,0.33333334,0,0,0,0,0,0,0,0,0,0,1,"ya estaba decidido jajaj",6,2
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"qué mal xd",6,2
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"c3 y f3?",6,2
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"jaja esque el A se nos desmadra",16,1
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"f5",16,1
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"c3 y f3 ganamos mas",6,2
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"vañe",16,1
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"vale*",16,1
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"ok",6,2
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"vamos bien, no?",16,1
29,4,1,3,2901,1,1,1,0,1,1,1,1,1,0,0.33333334,1,0,0,0,0,0,0,0,0,0,1,"si jajaj",6,2
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"como antes? c3 f3?",16,1
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"me parece bien",6,2
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"el F siempre recibe menos",16,1
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"o sino cual?",16,1
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"recibimos lo mismo en esta",6,2
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"ya, ya",16,1
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"32 cad uno",6,2
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"que antes he perdido 18 xd",6,2
29,5,1,5,2901,1,1,0,0,1,1,0,0,1,0,1,0,0.33333334,0,0,0,0,0,0,0,0,1,"jajajajajaja porq estabais despuntando",16,1
