Omega,Dp,Lambda
0.05,-0.204710145,1.5
0.1,-0.245391304,1.5
0.15,-0.162144928,1.5
0.2,-0.137,1.5
0.25,-0.185304348,1.5
0.3,-0.189115942,1.5
0.35,-0.137826087,1.5
0.4,-0.15784058,1.5
0.45,-0.157449275,1.5
0.5,-0.239681159,1.5
0.55,-0.16373913,1.5
0.6,-0.251072464,1.5
0.65,-0.158362319,1.5
0.7,-0.157753623,1.5
0.75,-0.080565217,1.5
0.8,0.012507246,1.5
0.85,0.020695652,1.5
0.9,0.011695652,1.5
0.95,0.102072464,1.5
0.05,0.045275362,0.1
0.1,0.039028986,0.1
0.15,0.025695652,0.1
0.2,0.077101449,0.1
0.25,0.066043478,0.1
0.3,0.022057971,0.1
0.35,0.031942029,0.1
0.4,0.051275362,0.1
0.45,0.036884058,0.1
0.5,0.076753623,0.1
0.55,0.057594203,0.1
0.6,0.038101449,0.1
0.65,0.038289855,0.1
0.7,0.045913043,0.1
0.75,0.046550725,0.1
0.8,0.03557971,0.1
0.85,0.014710145,0.1
0.9,0.036536232,0.1
0.95,0.01457971,0.1
0.05,-0.164246377,0.9
0.1,-0.105811594,0.9
0.15,-0.165608696,0.9
0.2,-0.247536232,0.9
0.25,-0.103043478,0.9
0.3,-0.201927536,0.9
0.35,-0.141869565,0.9
0.4,-0.14384058,0.9
0.45,-0.146855072,0.9
0.5,-0.216188406,0.9
0.55,-0.033797101,0.9
0.6,-0.007652174,0.9
0.65,-0.000304348,0.9
0.7,-0.032623188,0.9
0.75,0.01726087,0.9
0.8,0.00926087,0.9
0.85,0.070275362,0.9
0.9,0.059942029,0.9
0.95,0.071246377,0.9
0.05,-0.023275362,0.5
0.1,-0.108652174,0.5
0.15,-0.054768116,0.5
0.2,-0.017797101,0.5
0.25,-0.064826087,0.5
0.3,0.029550725,0.5
0.35,0.004173913,0.5
0.4,0.009,0.5
0.45,0.077,0.5
0.5,0.062391304,0.5
0.55,0.023188406,0.5
0.6,0.135652174,0.5
0.65,0.144376812,0.5
0.7,0.094942029,0.5
0.75,0.059188406,0.5
0.8,0.127753623,0.5
0.85,0.144811594,0.5
0.9,0.059434783,0.5
0.95,0.06857971,0.5
