"","x"
"1","-"
"2","a"
"3","à"
"4","à"
"5","ah"
"6","ai"
"7","ai"
"8","aie"
"9","aient"
"10","aies"
"11","ait"
"12","aller"
"13","allez"
"14","alors"
"15","apres"
"16","après"
"17","as"
"18","as"
"19","au"
"20","au"
"21","aura"
"22","aura"
"23","aurai"
"24","auraient"
"25","aurais"
"26","aurait"
"27","auras"
"28","aurez"
"29","auriez"
"30","aurions"
"31","aurons"
"32","auront"
"33","aux"
"34","avaient"
"35","avais"
"36","avait"
"37","avec"
"38","avec"
"39","avez"
"40","aviez"
"41","avions"
"42","avoir"
"43","avons"
"44","ayant"
"45","ayez"
"46","ayons"
"47","bah"
"48","bjr"
"49","bonjour"
"50","c"
"51","c"
"52","c'est"
"53","c'était"
"54","ca"
"55","ça"
"56","cb"
"57","ce"
"58","ce"
"59","ceci"
"60","cela"
"61","celà"
"62","ces"
"63","cest"
"64","cet"
"65","cette"
"66","cette"
"67","chose"
"68","coup"
"69","d"
"70","d"
"71","dans"
"72","dans"
"73","de"
"74","de"
"75","des"
"76","des"
"77","donc"
"78","dsl"
"79","du"
"80","du"
"81","e"
"82","elle"
"83","en"
"84","en"
"85","es"
"86","es"
"87","est"
"88","est"
"89","et"
"90","et"
"91","étaient"
"92","étais"
"93","était"
"94","étant"
"95","été"
"96","étée"
"97","étées"
"98","étés"
"99","êtes"
"100","étiez"
"101","étions"
"102","etre"
"103","être"
"104","eu"
"105","eu"
"106","eue"
"107","eues"
"108","eûmes"
"109","eurent"
"110","eus"
"111","eusse"
"112","eussent"
"113","eusses"
"114","eussiez"
"115","eussions"
"116","eut"
"117","eût"
"118","eûtes"
"119","eux"
"120","fai"
"121","fair"
"122","faire"
"123","fais"
"124","fait"
"125","fûmes"
"126","furent"
"127","fus"
"128","fusse"
"129","fussent"
"130","fusses"
"131","fussiez"
"132","fussions"
"133","fut"
"134","fût"
"135","fûtes"
"136","ici"
"137","il"
"138","il"
"139","ils"
"140","ils"
"141","j"
"142","j"
"143","j'avais"
"144","j'avais"
"145","j'en"
"146","je"
"147","je"
"148","l"
"149","l"
"150","la"
"151","la"
"152","là"
"153","le"
"154","le"
"155","les"
"156","les"
"157","leur"
"158","leur"
"159","leurs"
"160","lui"
"161","m"
"162","m"
"163","m'a"
"164","m'as"
"165","ma"
"166","ma"
"167","mais"
"168","mais"
"169","me"
"170","me"
"171","même"
"172","mes"
"173","mes"
"174","mis"
"175","mm"
"176","moi"
"177","moi"
"178","mon"
"179","mon"
"180","n"
"181","n"
"182","nan"
"183","ne"
"184","ne"
"185","nn"
"186","non"
"187","nos"
"188","nos"
"189","notre"
"190","notre"
"191","nous"
"192","nous"
"193","o"
"194","ok"
"195","on"
"196","on"
"197","ont"
"198","ont"
"199","ou"
"200","ou"
"201","ouai"
"202","ouais"
"203","oui"
"204","ouii"
"205","p"
"206","par"
"207","par"
"208","pas"
"209","pas"
"210","pas"
"211","peut"
"212","pour"
"213","pour"
"214","pr"
"215","q"
"216","qu"
"217","qu"
"218","qu'il"
"219","qu'ils"
"220","qu'on"
"221","quand"
"222","que"
"223","que"
"224","quel"
"225","quel"
"226","quelle"
"227","quelles"
"228","quels"
"229","qui"
"230","qui"
"231","quoi"
"232","quon"
"233","re"
"234","s"
"235","s"
"236","s'il"
"237","sa"
"238","sa"
"239","sa"
"240","salut"
"241","sans"
"242","sans"
"243","se"
"244","se"
"245","sera"
"246","serai"
"247","seraient"
"248","serais"
"249","serait"
"250","seras"
"251","serez"
"252","seriez"
"253","serions"
"254","serons"
"255","seront"
"256","ses"
"257","si"
"258","sinon"
"259","soi"
"260","soient"
"261","sois"
"262","soit"
"263","sommes"
"264","son"
"265","son"
"266","sont"
"267","sous"
"268","soyez"
"269","soyons"
"270","suis"
"271","suis"
"272","sur"
"273","sur"
"274","t"
"275","t"
"276","t'en"
"277","t'es"
"278","ta"
"279","ta"
"280","te"
"281","te"
"282","tes"
"283","tes"
"284","toi"
"285","toi"
"286","ton"
"287","ton"
"288","tous"
"289","tout"
"290","tres"
"291","très"
"292","tt"
"293","tu"
"294","tu"
"295","un"
"296","un"
"297","une"
"298","une"
"299","va"
"300","vais"
"301","vas"
"302","vera"
"303","viens"
"304","vos"
"305","votre"
"306","vous"
"307","x"
"308","xd"
"309","y"
"310","y"
"311","ya"
