"responses","open-code"
"They are afraid of what people may think or they may feel like someone would view them as cheating.","SDB, academic integrity"
"I guess they simply don't know much about what their friends do on the daily basis or how much their friends use LLMs to be exact.","info asymmetry"
"I think its social bias- students might downplay or be hesitant to confirm how much or the extent to which they use LLMs due to fear of being judged as being dishonest or lazy.
Some students might not be using or rarely uses  LLMs but believe everyone else is using them out of rumour and take it as the norm","SDB, academic integrity, overest."
"Because maybe they don’t think it’s ethical in someway","SDB, academic integrity"
"I think we like to judge others for their use and our perceptions of others is jaded when they tell us they use an outside source to help them on assignments, as we view it as a crutch. Yet we use the same crutch, most of us are self-reflective","self-reporting bias (favoring self in judgment)"
"Their friends may not disclose to college students how much they use LLMs. Most people like to keep their usage a secret because they may feel ashamed or subpar compared to their peers if they tell others they use LLMs for their work.","info asymmetry, SDB"
"People don't want to admit how much they personally are using but are more noticeable of people who do use it.","overest., SDB"
"Nobody wants to admit how much they use it.","SDB"
"Students might underreport their own use of LLMs because they don't want to seem lazy or dishonest.","SDB, academic integrity"
"People don't want to admit that they are using AI as much as they are.","SDB"
"Lack of communication.","info asymmetry"
"Some students tend to say they use LLMs to sound intellectual and trendy but they're lying.","overest."
"People are probably embarrassed to admit it if they are using them.","SDB"
"I think only a small portion of students actually rely on llms to do coursework, while most students do not. That small portion leads some students to assume most are using it.","overest."
"I think that this gap could be due to some students not being honest about how frequently they use LLMs out of fear of being judged or ridiculed for it","SDB"
"It is likely due to how much people talk about AI nowadays. Along with it mostly being used by high school and college students.","overest., AI discussion (""priming"")"
"The prospect of getting caught. For most schools, getting caught using AI for homework can get students expelled from their program at school.","academic integrity, privacy concerns"
"The gap is some pretend and act like they do not use them whereas they actually use them.","SDB"
"Shame...","SDB"
"The people taking the surveys don't use AI as much as the people that they know do","truthful"
"Being embarrassed to admit how much you rely on AI for your assignments.","SDB"
"I'd assume that's because they don't want to appear as though they are trying to cheat or get ahead somehow by using AI while attending college as well as not wanting to look less credible or knowledgeable to their professors or fellow students","SDB, academic integrity"
"they might not know well enough if their friends use it.","info asymmetry"
"the gap could be explained by a combination of personal privacy, social perceptions, and varied usage patterns that don't always match what students expect of their peers.","SDB, privacy concerns, overest."
"We are bad at predicting how little or much our friends use it.","overest., info asymmetry"
"I think many of us underestimate our use of AI, but overestimate our peers usage based on assumption. No one wants to own-up to their overreliance on AI","underest., overest., SDB"
