"model","treatment","dependent_variable","term","coef","se","p_value","n"
"chsd_coord","CH/S-D","coordinate","agree_proposal",0.242593749218063,0.0685645841578228,0.000445451006646968,459
"chsd_coord","CH/S-D","coordinate","discuss_coordinate",-0.074772671487402,0.103033792733252,0.468399666250101,459
"chsd_coord","CH/S-D","coordinate","discuss_fairness",0.0385246190758211,0.0347919803603416,0.2687718276137,459
"chsd_coord","CH/S-D","coordinate","discuss_efficient",0.0161420567400177,0.0357273514284163,0.651625333880668,459
"chsd_coord","CH/S-D","coordinate","discuss_rules",-0.107269294618095,0.0687555845985096,0.119437582558088,459
"chsd_coord","CH/S-D","coordinate","discuss_howtoplay",0.0522645638230763,0.0545082446178939,0.338163479478855,459
"chsd_coord","CH/S-D","coordinate","explanation",-0.071863592464415,0.0454388077586965,0.114466773433861,459
"chsd_coord","CH/S-D","coordinate","ask_game",NA,NA,NA,459
"chsd_coord","CH/S-D","coordinate","truthful",NA,NA,NA,459
"chsd_coord","CH/S-D","coordinate","falsehood",NA,NA,NA,459
"chsd_eff","CH/S-D","coordinate_efficient","agree_proposal",0.163137102826388,0.0448367646898842,0.000306570975975468,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_coordinate",0.140289398874147,0.130053695512491,0.281306832782181,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_fairness",-0.208909191672673,0.0564981738362729,0.000244934202338086,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_efficient",0.209151214898727,0.0515855698440932,5.93658668074122e-05,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_rules",-0.0368091370074178,0.110415650264151,0.739013608227801,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_howtoplay",-0.0899741601822701,0.11079202909632,0.417170654469771,459
"chsd_eff","CH/S-D","coordinate_efficient","explanation",0.0420106957044872,0.0929017296092715,0.651342113772378,459
"chsd_eff","CH/S-D","coordinate_efficient","ask_game",NA,NA,NA,459
"chsd_eff","CH/S-D","coordinate_efficient","truthful",NA,NA,NA,459
"chsd_eff","CH/S-D","coordinate_efficient","falsehood",NA,NA,NA,459
"chad_coord","CH/A-D","coordinate","agree_proposal",0.148456113564768,0.0392210750671507,0.000174887465296941,459
"chad_coord","CH/A-D","coordinate","discuss_coordinate",0.0601197563725409,0.155583414356669,0.699375752463163,459
"chad_coord","CH/A-D","coordinate","discuss_fairness",0.00421451097464498,0.0352414440663363,0.904862700441194,459
"chad_coord","CH/A-D","coordinate","discuss_efficient",0.115378007637565,0.0555425704837196,0.0383530524016985,459
"chad_coord","CH/A-D","coordinate","discuss_rules",0.153737385566643,0.0517076768317556,0.00310861291988023,459
"chad_coord","CH/A-D","coordinate","discuss_howtoplay",-0.0820312830385804,0.0849379225640955,0.334683964606857,459
"chad_coord","CH/A-D","coordinate","explanation",-0.0983956178116019,0.0522808568128378,0.060486356112272,459
"chad_coord","CH/A-D","coordinate","ask_game",-0.0722738804911227,0.0365185362519663,0.048426164626406,459
"chad_coord","CH/A-D","coordinate","truthful",0.0233907049833059,0.0351725756530089,0.506380983072622,459
"chad_coord","CH/A-D","coordinate","falsehood",NA,NA,NA,459
"chad_eff","CH/A-D","coordinate_efficient","agree_proposal",0.12041181604629,0.0582669467050491,0.0393593678956753,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_coordinate",0.0330701100299261,0.168094273872177,0.844125165250786,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_fairness",-0.0678888884244001,0.0672553997820392,0.313327172529964,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_efficient",0.193321052662185,0.0703700334548897,0.00625675907303399,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_rules",0.0623044915502564,0.0874082682131182,0.476347366963725,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_howtoplay",0.111089913264554,0.120596924834045,0.357466857407021,459
"chad_eff","CH/A-D","coordinate_efficient","explanation",-0.110445312142425,0.0585083518193503,0.0597246286300467,459
"chad_eff","CH/A-D","coordinate_efficient","ask_game",-0.0994274588060178,0.0577758332596902,0.0859671333556226,459
"chad_eff","CH/A-D","coordinate_efficient","truthful",0.147618432668279,0.0822622915949076,0.073420583950099,459
"chad_eff","CH/A-D","coordinate_efficient","falsehood",NA,NA,NA,459
"chmc_eff","CH-MC","coordinate_efficient","agree_proposal",0.0287078631593725,0.056480523055854,0.611512430731172,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_coordinate",-0.0219374308132773,0.142867282952604,0.878034080286296,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_fairness",-0.0634958474050594,0.0709439047181207,0.37126849537457,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_efficient",0.0979933173485447,0.061395041949683,0.111181897755718,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_rules",-0.0904674798712247,0.0731031601093929,0.216549732273085,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_howtoplay",-0.115104246030166,0.10950631442471,0.293780550732556,459
"chmc_eff","CH-MC","coordinate_efficient","explanation",0.0221154717018309,0.0728729814068447,0.761667748974248,459
"chmc_eff","CH-MC","coordinate_efficient","ask_game",0.0854190913822327,0.0628297671194802,0.174674310686846,459
"chmc_eff","CH-MC","coordinate_efficient","truthful",0.212802012531986,0.0616604006500824,0.000612018068968919,459
"chmc_eff","CH-MC","coordinate_efficient","falsehood",-0.0245115090262359,0.160005961697441,0.878317707224293,459
