"model","treatment","dependent_variable","term","coef","se","p_value","n","pseudo_r2","log_likelihood","source"
"chsd_coord","CH/S-D","coordinate","agree_proposal",0.195593332650681,0.0627052534571175,0.00181312337618632,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","discuss_coordinate",-0.0465160517531564,0.0807594421016606,0.564626789368331,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","discuss_fairness",0.00988392509699865,0.0208714009987813,0.635811503126239,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","discuss_efficient",0.0099783172218908,0.0263158640302049,0.704557929709751,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","discuss_rules",-0.0850827203698308,0.0668741087899134,0.203272965645709,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","discuss_howtoplay",0.0246216686884492,0.0211327586838806,0.243980594010725,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","explanation",-0.053353058895154,0.0430222319208299,0.214928187477425,458,0.275788728333165,-93.1000389717513,"human"
"chsd_coord","CH/S-D","coordinate","ask_game",NA,NA,NA,458,NA,NA,"human"
"chsd_coord","CH/S-D","coordinate","truthful",NA,NA,NA,458,NA,NA,"human"
"chsd_coord","CH/S-D","coordinate","falsehood",NA,NA,NA,458,NA,NA,"human"
"chsd_eff","CH/S-D","coordinate_efficient","agree_proposal",0.201016633635995,0.0529862816163855,0.000148389896483999,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","discuss_coordinate",0.206110526246156,0.165743808094489,0.213665641941684,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","discuss_fairness",-0.252443564532478,0.0747158814511523,0.000728258343555041,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","discuss_efficient",0.251623783106666,0.0647606734838522,0.000102144251894738,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","discuss_rules",-0.0603366314293728,0.149732470871491,0.68697551379617,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","discuss_howtoplay",-0.105532626898354,0.138604037371473,0.446420286135078,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","explanation",0.0562199288403258,0.125109541358588,0.653167915233394,458,0.20786599713798,-246.970332183707,"human"
"chsd_eff","CH/S-D","coordinate_efficient","ask_game",NA,NA,NA,458,NA,NA,"human"
"chsd_eff","CH/S-D","coordinate_efficient","truthful",NA,NA,NA,458,NA,NA,"human"
"chsd_eff","CH/S-D","coordinate_efficient","falsehood",NA,NA,NA,458,NA,NA,"human"
"chmc_eff","CH-MC","coordinate_efficient","agree_proposal",0.0443220662497811,0.0829893041287794,0.593293366479183,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","discuss_coordinate",-0.0900428503110819,0.190043009201014,0.635640761258542,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","discuss_fairness",-0.10101767915653,0.0921231806620561,0.272838129175437,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","discuss_efficient",0.109262955625018,0.0876756869223641,0.21268463867727,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","discuss_rules",-0.166340600965082,0.110113275336825,0.130882320494988,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","discuss_howtoplay",-0.11825599588984,0.156845298646742,0.450869739493513,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","explanation",0.0343581463261328,0.100158491275202,0.731570039594565,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","ask_game",0.118187460139257,0.0829395726472397,0.15416218814737,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","truthful",0.28978002248098,0.0810512782349979,0.00034986962610259,458,0.282775774451469,-226.985811914748,"human"
"chmc_eff","CH-MC","coordinate_efficient","falsehood",-0.0322682169670261,0.197775762528556,0.870395948578973,458,0.282775774451469,-226.985811914748,"human"
"chsd_coord","CH/S-D","coordinate","agree_proposal",0.0281257021499475,0.0363610860588966,0.439219986940897,458,0.167728564454082,-106.991572923276,"claude"
"chsd_coord","CH/S-D","coordinate","discuss_coordinate",-0.0234162800017376,0.0461712747980654,0.612041703464305,458,0.167728564454082,-106.991572923276,"claude"
"chsd_coord","CH/S-D","coordinate","discuss_fairness",0.00263629473928395,0.0142189397123048,0.852909609682067,458,0.167728564454082,-106.991572923276,"claude"
"chsd_coord","CH/S-D","coordinate","discuss_efficient",0.0113066039769084,0.0141996805271287,0.425882306512427,458,0.167728564454082,-106.991572923276,"claude"
"chsd_coord","CH/S-D","coordinate","discuss_rules",-0.228338309022749,0.163361553544292,0.162188709953945,458,0.167728564454082,-106.991572923276,"claude"
