"model","term","treatment","dependent_variable","coef","se","p_value","n","paper_coef","abs_diff","matches_within_0_02","matches_within_0_05"
"chsd_coord","agree_proposal","CH/S-D","coordinate",0.242593749218063,0.0685645841578228,0.000445451006646968,459,0.108,0.134593749218063,0,0
"chsd_coord","discuss_coordinate","CH/S-D","coordinate",-0.074772671487402,0.103033792733252,0.468399666250101,459,-0.036,0.038772671487402,0,1
"chsd_coord","discuss_fairness","CH/S-D","coordinate",0.0385246190758211,0.0347919803603416,0.2687718276137,459,0.013,0.0255246190758211,0,1
"chsd_coord","discuss_efficient","CH/S-D","coordinate",0.0161420567400177,0.0357273514284163,0.651625333880668,459,0.011,0.00514205674001766,1,1
"chsd_coord","discuss_rules","CH/S-D","coordinate",-0.107269294618095,0.0687555845985096,0.119437582558088,459,-0.055,0.0522692946180947,0,0
"chsd_coord","discuss_howtoplay","CH/S-D","coordinate",0.0522645638230763,0.0545082446178939,0.338163479478855,459,0.033,0.0192645638230763,1,1
"chsd_coord","explanation","CH/S-D","coordinate",-0.071863592464415,0.0454388077586965,0.114466773433861,459,-0.041,0.030863592464415,0,1
"chsd_coord","ask_game","CH/S-D","coordinate",NA,NA,NA,459,NA,NA,0,0
"chsd_coord","truthful","CH/S-D","coordinate",NA,NA,NA,459,NA,NA,0,0
"chsd_coord","falsehood","CH/S-D","coordinate",NA,NA,NA,459,NA,NA,0,0
"chsd_eff","agree_proposal","CH/S-D","coordinate_efficient",0.163137102826388,0.0448367646898842,0.000306570975975468,459,0.217,0.0538628971736116,0,0
"chsd_eff","discuss_coordinate","CH/S-D","coordinate_efficient",0.140289398874147,0.130053695512491,0.281306832782181,459,0.203,0.0627106011258529,0,0
"chsd_eff","discuss_fairness","CH/S-D","coordinate_efficient",-0.208909191672673,0.0564981738362729,0.000244934202338086,459,-0.265,0.0560908083273274,0,0
"chsd_eff","discuss_efficient","CH/S-D","coordinate_efficient",0.209151214898727,0.0515855698440932,5.93658668074122e-05,459,0.253,0.0438487851012729,0,1
"chsd_eff","discuss_rules","CH/S-D","coordinate_efficient",-0.0368091370074178,0.110415650264151,0.739013608227801,459,-0.061,0.0241908629925822,0,1
"chsd_eff","discuss_howtoplay","CH/S-D","coordinate_efficient",-0.0899741601822701,0.11079202909632,0.417170654469771,459,-0.109,0.0190258398177299,1,1
"chsd_eff","explanation","CH/S-D","coordinate_efficient",0.0420106957044872,0.0929017296092715,0.651342113772378,459,0.056,0.0139893042955128,1,1
"chsd_eff","ask_game","CH/S-D","coordinate_efficient",NA,NA,NA,459,NA,NA,0,0
"chsd_eff","truthful","CH/S-D","coordinate_efficient",NA,NA,NA,459,NA,NA,0,0
"chsd_eff","falsehood","CH/S-D","coordinate_efficient",NA,NA,NA,459,NA,NA,0,0
"chad_coord","agree_proposal","CH/A-D","coordinate",0.148456113564768,0.0392210750671507,0.000174887465296941,459,0.114,0.034456113564768,0,1
"chad_coord","discuss_coordinate","CH/A-D","coordinate",0.0601197563725409,0.155583414356669,0.699375752463163,459,0.032,0.0281197563725409,0,1
"chad_coord","discuss_fairness","CH/A-D","coordinate",0.00421451097464498,0.0352414440663363,0.904862700441194,459,-0.004,0.00821451097464498,1,1
"chad_coord","discuss_efficient","CH/A-D","coordinate",0.115378007637565,0.0555425704837196,0.0383530524016985,459,0.05,0.065378007637565,0,0
"chad_coord","discuss_rules","CH/A-D","coordinate",0.153737385566643,0.0517076768317556,0.00310861291988023,459,0.218,0.0642626144333575,0,0
"chad_coord","discuss_howtoplay","CH/A-D","coordinate",-0.0820312830385804,0.0849379225640955,0.334683964606857,459,-0.06,0.0220312830385804,0,1
