"model","treatment","dependent_variable","term","coef","se","p_value","n"
"chsd_coord","CH/S-D","coordinate","agree_proposal",0.203843511408262,0.0637176774515905,0.00137825153495791,459
"chsd_coord","CH/S-D","coordinate","discuss_coordinate",-0.0493608660434524,0.0831887887294772,0.552940522919453,459
"chsd_coord","CH/S-D","coordinate","discuss_fairness",0.0125771741741947,0.0210578730784606,0.550329085728579,459
"chsd_coord","CH/S-D","coordinate","discuss_efficient",0.0105340329467031,0.0262513870866941,0.688217454659659,459
"chsd_coord","CH/S-D","coordinate","discuss_rules",-0.0827993883003733,0.0660051519288728,0.20968275137981,459
"chsd_coord","CH/S-D","coordinate","discuss_howtoplay",0.025374901633469,0.02109419882346,0.229002363383592,459
"chsd_coord","CH/S-D","coordinate","explanation",-0.0519987399583877,0.043086191163825,0.227488395172334,459
"chsd_coord","CH/S-D","coordinate","ask_game",NA,NA,NA,459
"chsd_coord","CH/S-D","coordinate","truthful",NA,NA,NA,459
"chsd_coord","CH/S-D","coordinate","falsehood",NA,NA,NA,459
"chsd_eff","CH/S-D","coordinate_efficient","agree_proposal",0.203145146637698,0.0530322268193228,0.000127832161574868,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_coordinate",0.20619214386227,0.165879437779913,0.213858941637291,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_fairness",-0.251368895397958,0.0748161772843507,0.000779932445242191,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_efficient",0.251741889298922,0.0647220579820422,0.000100416155244035,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_rules",-0.0597543709812923,0.149925331115896,0.690216795940086,459
"chsd_eff","CH/S-D","coordinate_efficient","discuss_howtoplay",-0.104856954332361,0.138790935194201,0.449947291647044,459
"chsd_eff","CH/S-D","coordinate_efficient","explanation",0.056442280501624,0.124993009538767,0.65158347180661,459
"chsd_eff","CH/S-D","coordinate_efficient","ask_game",NA,NA,NA,459
"chsd_eff","CH/S-D","coordinate_efficient","truthful",NA,NA,NA,459
"chsd_eff","CH/S-D","coordinate_efficient","falsehood",NA,NA,NA,459
"chad_coord","CH/A-D","coordinate","agree_proposal",0.138668581670334,0.0335600039093286,3.59683586632365e-05,459
"chad_coord","CH/A-D","coordinate","discuss_coordinate",0.0246304546840748,0.0393199448147211,0.531045250733534,459
"chad_coord","CH/A-D","coordinate","discuss_fairness",-0.00379983019805252,0.0251047351694678,0.879692448743058,459
"chad_coord","CH/A-D","coordinate","discuss_efficient",0.0375283784780469,0.0255608964939757,0.142051282766681,459
"chad_coord","CH/A-D","coordinate","discuss_rules",0.0692954936588095,0.0182775527881106,0.000149867149241431,459
"chad_coord","CH/A-D","coordinate","discuss_howtoplay",-0.0930408517134943,0.113192474343836,0.411093802407063,459
"chad_coord","CH/A-D","coordinate","explanation",-0.0902153247566019,0.0441986012902001,0.0412373817497353,459
"chad_coord","CH/A-D","coordinate","ask_game",-0.0757580656649463,0.0437551254567116,0.0833786484367241,459
"chad_coord","CH/A-D","coordinate","truthful",0.021165066435224,0.0254055795319371,0.404795478314125,459
"chad_coord","CH/A-D","coordinate","falsehood",NA,NA,NA,459
"chad_eff","CH/A-D","coordinate_efficient","agree_proposal",0.182472636143447,0.0790306700038952,0.0209500284449938,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_coordinate",0.0784541171486879,0.227522074045201,0.730229843169383,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_fairness",-0.0866987295020043,0.0917724821046387,0.344805014231791,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_efficient",0.252811655418849,0.0878046570238834,0.00398620810391085,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_rules",0.110764535303555,0.113578033895234,0.329446929448666,459
"chad_eff","CH/A-D","coordinate_efficient","discuss_howtoplay",0.158179373472862,0.171074223224523,0.355161400147599,459
"chad_eff","CH/A-D","coordinate_efficient","explanation",-0.164838483076458,0.087242573323967,0.0588346212959632,459
"chad_eff","CH/A-D","coordinate_efficient","ask_game",-0.119682391701471,0.0823080451728265,0.145924433007885,459
"chad_eff","CH/A-D","coordinate_efficient","truthful",0.202327890966348,0.11450237725634,0.0772250247172049,459
"chad_eff","CH/A-D","coordinate_efficient","falsehood",NA,NA,NA,459
"chmc_eff","CH-MC","coordinate_efficient","agree_proposal",0.0454050158950936,0.0826612649468025,0.582806368615886,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_coordinate",-0.0899866275780234,0.190179873327036,0.636094836552031,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_fairness",-0.100819454079022,0.0920450446506177,0.27337325315262,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_efficient",0.109659351045013,0.0876861240895201,0.211084262735214,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_rules",-0.16577175695762,0.110004465851614,0.131822245457048,459
"chmc_eff","CH-MC","coordinate_efficient","discuss_howtoplay",-0.117467146344588,0.157473041561442,0.455697117065511,459
"chmc_eff","CH-MC","coordinate_efficient","explanation",0.0344328908994432,0.10031383721511,0.731409145548192,459
"chmc_eff","CH-MC","coordinate_efficient","ask_game",0.118484858955198,0.0830016973633617,0.153436047381719,459
"chmc_eff","CH-MC","coordinate_efficient","truthful",0.290872734278748,0.0810177716202426,0.000330381609124703,459
"chmc_eff","CH-MC","coordinate_efficient","falsehood",-0.031784670825907,0.197981168524679,0.872452635300073,459
