"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","departamento","escalafon","antiguedad","educacion","genero","genero_4_TEXT","directivo","academia","razones","politicas","experiencia","reduccion_carga","consultorias_general","oportunidades","informacion","tiempo","tiempo_influencia","compensacion","overhead_influencia","gestion_propuestas","gestion","burocracia","carga_influencia","escalafon_influencia","overhead","overhead_impacto","overhead_calculo","creencia_bonificacio","creencia_tiempo","creencia_overhead","oportunidades_numero","participacion","limite_bonificacion","limite_bonificacion_4_TEXT","ranqueo_1","ranqueo_2","ranqueo_3","ranqueo_4","ranqueo_5","ranqueo_6","aceptable_segundo","aceptable","kw_1","kw_2","kw_3","kw_4","random_number","treatment"
"2025-02-20 14:22:30","2025-02-20 14:39:04","IP Address","190.24.55.127","100","994","True","2025-02-20 14:39:05","R_7SZ2MSh8jwjZ5Hb","NA","1281","NA","NA","4.6011","-74.0345","gl","EN","Instituto Pensar","Profesor titular - Escala 1","25","Doctorado o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","Porque no en todas las áreas hay demanda de servicios de consultoría por parte del sector externo","Visibilizar las capacidades de las unidades desde la dirección de consultorías. Esto incluye que desde esa dirección se divulgue la oferta y se identifiquen las oportunidades. Este trabajo de mercadeo no debería estar en cabeza de los profesores. Especialmente en áreas en las que la demanda externa es muy escasa","He realizado consultorías solamente a través de la PUJ","No creo que sirva, no tiene nada que ver. Si no hay demanda de consultorías en el área del profesor, no importa que tenga tiempo o no. No es posible vender algo para lo que no hay mercado. Y no corresponde al profesor buscar ese mercado. No está en sus funciones ni en su contrato de trabajo.","3","Hay pocas oportunidades","Muy clara","El tiempo ha sido insuficiente la mayoría de las veces","Influye mucho","Suficientes","Bastante","Nada","Nada","Poco","Algo","Poco","Impacto muy bajo","Impacto muy alto","Nada clara","50000","5","30","5","8","En un año, el profesor no puede recibir por consultorías, más que el X% de su salario. Por favor escriba el valor de X:","50","5","50","15","2","25","3","NA","NA","Algo apropiado socialmente","Algo apropiado socialmente","Algo apropiado socialmente","Algo apropiado socialmente","4","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
"2025-02-20 14:15:15","2025-02-20 14:43:50","IP Address","200.3.152.21","100","1714","True","2025-02-20 14:43:50","R_5g2a40V5IPUKrdP","NA","601","NA","NA","4.6313","-74.0344","gl","EN","Departamento de Enfermería de Salud Colectiva","NA","8","Maestría o equivalente","Femenino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","Quizá por desconocimiento o porque el proceso puede verse como algo complejo.","Más que políticas, considero que se puede realizar un tipo de capacitación para este tema. De esta manera los profesores pueden contar con herramientas para aplicar a consultorías.","He realizado consultorías solamente a través de la PUJ","No creo que sea necesario, porque esto hace parte de las funciones sustantivas y también se reciben retribuciones económicas por participar en consultorías.","1","Hay pocas oportunidades","Regular","El tiempo ha sido insuficiente la mayoría de las veces","Influye moderadamente","Suficientes","Bastante","Algo","Algo","Bastante","Poco","Poco","Impacto alto","Neutral","Poco clara","100000","10","20","1","3","En un año, el profesor no puede recibir por consultorías, más que el X% de su salario. Por favor escriba el valor de X:","No sé","20","10","10","20","10","30","NA","NA","Muy inapropiado socialmente","Muy inapropiado socialmente","Muy apropiado socialmente","Muy apropiado socialmente","5","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
"2025-02-20 14:25:23","2025-02-20 14:44:11","IP Address","200.3.152.79","100","1128","True","2025-02-20 14:44:12","R_54uhdiSVJA0qrEM","NA","567","NA","NA","4.6313","-74.0344","gl","EN","Departamento de Formación","Profesor asistente - Escala 3","26","Maestría o equivalente","Femenino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","No","- Hay una poca articulación entre las decisiones de los departamentos sobre los planes de trabajo de los docentes con la posibilidad de estimular a los docentes a través de la consultoría.
- Algunas veces se emplea la consultoría para contratar amigos o externos, limitando la participación de los docentes en estas formas de proyección de las facultades y los programas.
- La consultoría debe ser un espacio también de proyección académica, de aumento de recursos, y de estímulos para profesores; además ella misma permite profundizar en áreas de alto impacto académico y social, cuando se trabaja desde el carácter y proyecto educativo javeriano, que muchas veces los externos no comprenden. 
- La participación se ve limitada por el criterio del director de departamento, que también ha tenido, a mi modo de ver, preferencias por unos docentes sobre otros. Lo que se evidencia es que siempre son los mismos docentes; incluso en temáticas que no son de su experiencia.","- Política clara en relación a que la consultoría es parte de la proyección y estimulo económico de los docentes. 
- Hacer de la consultoría también un espacio de producción académica. 
- Formar mejor a los directores departamentos, y en algunos casos a los decanos, para que ellos comprendan la importancia de que los docentes de las distintas unidades académicas puedan participar de esta actividad, que es además proyección de la universidad y las facultades.
- Tener una concepción más clara sobre qué es la consultoría, como espacio académico y de impacto social.","He realizado consultorías solamente a través de la PUJ","No soy directora de departamento, sino de pregrados; frente a la pregunta, considero que hay tres ventajas:
- mayor articulación entre la función docente con la de extensión y proyección social.
- Considero que debe haber una combinación entre consultoría con una parte del tiempo en planes de trabajo de docentes; y otra parte como estímulo con bonificaciones (puede ser 50% para cada ámbito). A veces se ve que un externo, le pagan mejor haciendo consultoría que a un docente con una clase por cátedra. Es también una cuestión de equidad.
- Hay que analizar cada contexto de manera diferenciada, de acuerdo con las demandas de las otras funciones sustantivas, para que la consultoría (como parte de la extensión o proyección social), sea también una actividad reconocida y valorada dentro de la trayectoria académica del docente, y que las facultades, valoren la participación de los docentes como un evento significativo.","12","Hay escasas oportunidades","Regular","El tiempo ha sido suficiente aproximadamente la mitad de las veces","Influye muy poco","Insuficientes","Poco","Poco","Poco","Algo","Bastante","Bastante","Impacto alto","Impacto alto","Neutral","150000","4","30","3","5","No hay límite máximo","NA","10","10","20","20","30","10","Aceptable","Aceptable","NA","NA","NA","NA","4","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
"2025-02-20 14:40:54","2025-02-20 15:00:13","IP Address","200.3.154.208","100","1159","True","2025-02-20 15:00:13","R_3ZwrI5Xgh7Nr87D","NA","376","NA","NA","4.6313","-74.0344","gl","EN","Departamento de Comunicación","Profesor asistente - Escala 3","4","Doctorado o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","La carga laboral es alta, no se presentan oportunidades, no se tiene en cuenta en el MVTA, presentar las propuestas a través de la universidad es muy complicado. Las consultorías no concuerdan con los planes de trabajo.","Dado que los profesores ya tiene carga completa en el momento que puede surgir un proyecto de consultoría debe haber incentivos más allá del económico. Pueden valer dentro de mvta. Si un profesor asume una consultoría debe parar otros procesos.","He realizado consultorías tanto a través de la PUJ como de manera independiente","Estoy de acuerdo, mientras no sea el único incentivo. El trabajo en consultorías es muy demandante y el incentivo económico es importante. Yo he dirigido proyectos de consultoría con carga completa. Creo que debería haber varios incentivos que los profesores puedan escoger . Si se reduce la carga docente, pero se aumenta el trabajo, no hay incentivo.","20","Hay pocas oportunidades","Poco clara","El tiempo ha sido insuficiente la mayoría de las veces","Influye bastante","Insuficientes","Bastante","Algo","Algo","Mucho","Algo","Mucho","Impacto moderado","Impacto alto","Poco clara","300000","10","20","1","2","No hay límite máximo","NA","20","10","10","10","25","25","NA","NA","Algo inapropiado socialmente","Muy apropiado socialmente","Ni apropiado ni inapropiado","Ni apropiado ni inapropiado","3","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
"2025-02-20 14:58:15","2025-02-20 15:15:31","IP Address","200.3.152.26","100","1035","True","2025-02-20 15:15:32","R_5Lej0TZLhc4LMYO","NA","701","NA","NA","4.6313","-74.0344","gl","EN","Departamento de Ingeniería Electrónica","Profesor asociado - Escala 1","22","Doctorado o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","No","- Carga Académica Elevada. Los profesores en la Universidad suelen tener una alta carga de docencia, investigación y gestión administrativa, lo que les deja poco tiempo para dedicarse a consultorías externas. Además, la planificación y ejecución de consultorías requieren un esfuerzo adicional que muchas veces no está contemplado en sus horarios académicos. No hay descarga por proyectos de consultoría.
- Carga Burocrática. Aunque la consultoría permite bonificaciones, los procesos administrativos y de contratación dentro de la universidad pueden ser complejos y desincentivadores. 
- Falta de Cultura de Vinculación con la Industria. En algunas facultades, especialmente en ingeniería, la prioridad ha sido tradicionalmente la investigación académica y la publicación de artículos, más que la consultoría aplicada. Esto ha generado una desconexión con la industria y una menor familiarización con este tipo de proyectos.
- Falta de Redes y Contactos con Empresas. Derivado del anterior. Muchos docentes no tienen una red sólida de contactos en el sector productivo, lo que dificulta la identificación de oportunidades de consultoría. Además, algunos pueden no sentirse cómodos con la negociación y gestión de clientes externos.
- Diferencias en Motivaciones Personales. No todos los profesores están motivados por ingresos adicionales. Algunos pueden estar más enfocados en la estabilidad de su carrera académica, su vocación docente, o su agenda de investigación, en lugar de en actividades de consultoría que pueden percibir como un desvío de su enfoque principal. En muchos casos se puede entrar en competencia con nuestro egresados.","Si la Universidad quiere fortalecer la participación de los docentes en consultoría, podría considerar estrategias como:
- Simplificar procesos administrativos y facilitar la gestión de proyectos.
- Ofrecer incentivos más claros y accesibles.
- Incluir la consultoría como parte de los criterios de evaluación y promoción dentro de la carrera académica.
- Fomentar redes con la industria a través de eventos, capacitaciones y convenios estratégicos.
- Crear equipos interdisciplinarios donde los profesores menos experimentados en consultoría puedan integrarse y aprender del proceso.","He realizado consultorías solamente a través de la PUJ","La posibilidad de reducir la carga docente como compensación para la realización de consultorías a través de la PUJ sería una estrategia interesante para fomentar la vinculación con el sector productivo y aumentar la participación de los docentes en proyectos aplicados. Sin embargo, habría que analizar varios aspectos clave antes de implementarla. 

Beneficios de Reducir la Carga Docente para Fomentar la Consultoría:
- Mayor Participación en Consultorías: Actualmente, muchos profesores evitan las consultorías debido a su alta carga académica.
Reducir el número de horas de docencia permitiría a los docentes dedicar más tiempo a la gestión y ejecución de proyectos de consultoría sin que esto impacte negativamente su desempeño docente.
- Fortalecimiento de la Vinculación Universidad-Empresa: La Universidad busca fortalecer su relación con el sector productivo, y la consultoría es una herramienta para lograrlo.
Un mayor número de docentes involucrados en consultoría amplía el impacto de la Facultad en la industria y facilita la generación de alianzas estratégicas.

- Mejora de la Relevancia del Conocimiento: Los docentes que participan en consultorías están más expuestos a problemas reales de la industria, lo que puede mejorar la calidad de la enseñanza y la pertinencia de la investigación aplicada. Esto impacta positivamente el currículo, las asignaturas y la formación de los estudiantes.

- Mayor Incentivo para los Docentes: Si la Universidad quiere que los profesores se involucren más en la consultoría, debe proporcionar compensaciones atractivas, y la reducción de carga docente es un incentivo fuerte. Actualmente, la bonificación económica es un atractivo, pero no suficiente si los docentes están sobrecargados con actividades académicas y administrativas.


RETOS Y CONSIDERACIONES
- Impacto en la Disponibilidad de Docentes: Si varios docentes reducen su carga para dedicarse a consultoría, ¿cómo se garantizará la oferta de asignaturas esenciales?
Se podrían necesitar profesores de cátedra para cubrir las vacantes, lo que implicaría un ajuste en la planeación académica. La Universidad está presionando en la reducción de la carga de profesores de cátedra

- Criterios Claros para la Reducción de Carga: ¿Cuántas horas de docencia se reducirían por cada monto de consultoría generada?, ¿La reducción se aplicaría a cualquier tipo de consultoría o solo a aquellas que beneficien directamente a la Universidad? ¿Se implementaría una escala progresiva dependiendo del nivel de ingresos generados?

- Mecanismo de Evaluación y Seguimiento:Se necesitaría un sistema claro de monitoreo para asegurar que los docentes efectivamente estén dedicando ese tiempo liberado a proyectos de consultoría de alto impacto. Podría ser necesario un informe semestral donde los profesores detallen sus avances en consultoría. Asegurar Equilibrio con las Otras Funciones Académicas.

La consultoría no debería desplazar por completo la docencia y la investigación en la Universidad. Se debe garantizar que los docentes continúen con sus funciones de formación y generación de conocimiento.","1","No sé / no tengo información suficiente","Regular","No sé / no tengo información para responder esta pregunta","Influye mucho","Neutral","Mucho","Bastante","Bastante","Algo","Mucho","Mucho","Impacto muy alto","Impacto muy alto","Neutral","500000","20","20","0","NA","No hay límite máximo","NA","10","15","15","10","30","20","NA","NA","Muy apropiado socialmente","Ni apropiado ni inapropiado","Algo apropiado socialmente","Ni apropiado ni inapropiado","10","NA"
"2025-02-20 15:52:12","2025-02-20 15:57:37","IP Address","200.3.152.31","100","324","True","2025-02-20 15:57:38","R_1wL94Tolpsj5gjK","NA","1200","NA","NA","4.6313","-74.0344","gl","EN","Departamento de Psicología","Profesor asociado - Escala 2","9","Doctorado o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","Falta de conexión con el medio social","Base de datos con información actualizada sobre ofertas","Nunca he realizado consultorías","Efectivo. Si se acompaña con estímulos económicos creería que tendría más acogida","NA","No sé / no tengo información suficiente","No sé / Nunca he realizado una consultoría","No sé / no tengo información para responder esta pregunta","Nunca he recibido oportunidades de consultoría con fecha límite de presentación","No sé / no tengo información suficiente","No sé / no tengo información suficiente","Bastante","Bastante","No sé / no aplica","No sé / no aplica","No sé / no aplica","No sé / no aplica","No sé / no aplica","No sé / no aplica","120000","12","NA","0","NA","En un año, el profesor no puede recibir por consultorías, más que el X% de su salario. Por favor escriba el valor de X:","No tengo información","0","80","0","0","20","0","NA","NA","Muy inapropiado socialmente","Algo inapropiado socialmente","Muy apropiado socialmente","Muy apropiado socialmente","9","NA"
"2025-02-20 15:30:48","2025-02-20 16:11:12","IP Address","200.3.154.194","100","2424","True","2025-02-20 16:11:13","R_7rxyprg83Nctldk","NA","474","NA","NA","4.6313","-74.0344","gl","EN","Departamento de Economía","Profesor asociado - Escala 1","21","Doctorado o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","El porcentaje que el nivel central exige (overhead, costos indirectos, recuperación de salarios) es un porcentaje demasiado alto.
Incuso creo que lo que entendemos los departamentos por recuperación de salarios es muy distinto a lo que la dirección financiera entiende por el mismo concepto.","Definitivamente el costo que exige la universidad es demasiado alto. En ocasiones es cerca del 45-50% (sumando todo lo transferido al nivel central).","He realizado consultorías solamente a través de la PUJ","Si la recuperación de salarios funcionara como en otras universidades, de acuerdo. Con esos recursos se podrían pagar a profesores de cátedra. Pero recuperación de salarios es entendida como recursos para el nivel central y no para los departamentos.","3","Hay pocas oportunidades","Nada clara","El tiempo ha sido insuficiente la mayoría de las veces","Influye bastante","Insuficientes","Bastante","Poco","Poco","Mucho","Algo","Mucho","Impacto muy alto","Impacto muy alto","Nada clara","450000","8","25","5","2","No hay límite máximo","NA","30","0","30","40","0","0","Neutro","Inaceptable","NA","NA","NA","NA","3","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
"2025-02-20 16:15:30","2025-02-20 16:22:22","IP Address","181.56.62.50","100","411","True","2025-02-20 16:22:23","R_7PvlQIywJ68y3Yd","NA","378","NA","NA","4.5975","-74.0684","gl","EN","Departamento de Comunicación","NA","2","Maestría o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","No lo se.","NA","Nunca he realizado consultorías","Me parece que por ese camino se pierde el sentido de la docencia.","NA","No sé / no tengo información suficiente","Regular","No sé / no tengo información para responder esta pregunta","Nunca he recibido oportunidades de consultoría con fecha límite de presentación","No sé / no tengo información suficiente","No sé / no tengo información suficiente","No sé / no aplica","No sé / no aplica","Mucho","Mucho","Mucho","No sé / no aplica","No sé / no aplica","No sé / no aplica","NA","NA","NA","0","NA","No hay límite máximo","NA","30","10","0","30","30","0","Neutro","Aceptable","NA","NA","NA","NA","8","NA"
"2025-02-20 14:15:53","2025-02-20 16:24:19","IP Address","190.24.56.117","100","7705","True","2025-02-20 16:24:20","R_5KjBkkvE5PSy177","NA","349","NA","NA","4.6351","-74.0704","gl","EN","Departamento de Estudios Culturales","Profesor asistente - Escala 3","4","Doctorado o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","En parte, por desconocimiento en cómo acceder a las consultorías, en parte, porque no ven un beneficio inmediato en ellas","Primero, la exposición detallada sobre la importancia de las consultorías, las cuales podrían articularse con sus intereses académicos e investigativos. Segundo, el conocimiento de los beneficios que les podrían reportar su participación, más allá de los económicos. Tercero, la articulación de las consultorías con los planes de trabajo, tanto de cada profesor/a como del Dpto en que se encuentran","Solamente he realizado consultorías de manera independiente","Considero que sería justo y merecido, en tanto la reducción esté articulada a las necesidades del Dpto, en que no afecte su funcionamiento y haya un equilibrio entre el plan de trabajo del/de la docente con lo que el Dpto requiere","1","Hay pocas oportunidades","Poco clara","No sé / no tengo información para responder esta pregunta","Influye mucho","No sé / no tengo información suficiente","Algo","Bastante","Bastante","Mucho","Bastante","Bastante","Impacto moderado","Impacto alto","Poco clara","200000","2","20","2","2","En un año calendario, el profesor no puede recibir por consultorías más que su salario como profesor de planta.","NA","30","5","5","30","20","10","Aceptable","Aceptable","NA","NA","NA","NA","1","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
"2025-02-20 16:29:21","2025-02-20 16:41:19","IP Address","190.26.11.190","100","718","True","2025-02-20 16:41:20","R_96MHEq5GQLocW9X","NA","1020","NA","NA","4.6313","-74.0344","gl","EN","Deparamento de Sistema Dentario","Profesor instructor - Escala 1","14","Maestría o equivalente","Masculino","NA","Director(a) de unidad académica (departamento, carrera, posgrados, instituto)","Sí","falta de información y articulacion entre digerentes facultades y universidades.   Mejorar el pago a los profesores para estimular este tipo de practicas.","Los profesores deben ser mas visibles ante los gremios a los que pertenecen esto generara que las instituciones externas o los gremios busquen a la universidad para ser apoyados por estos profesores.
Sin investigación visible de todas facultades no vamos a tener el puesto que queremos tener de prevalencia en todos los gremios","He realizado consultorías tanto a través de la PUJ como de manera independiente","No creo que ese sea el problema, los profesores bien remunerados y con herramientas de investigación  pueden organizar sus catedras y ademas realizar consultorias","10","Hay muchas oportunidades","Nada clara","No sé / no tengo información para responder esta pregunta","Nunca he recibido oportunidades de consultoría con fecha límite de presentación","Insuficientes","No sé / no tengo información suficiente","Mucho","Mucho","Mucho","Nada","Mucho","Impacto moderado","No sé / no aplica","No sé / no aplica","100000","10","0","0","NA","No hay límite máximo","NA","20","50","0","20","0","10","NA","NA","Ni apropiado ni inapropiado","Algo apropiado socialmente","Algo apropiado socialmente","Ni apropiado ni inapropiado","1","<p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;"">¿Cuál es el colmo de los Javerianos?<br>
Termina la encuesta y descubre la respuesta.</p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p><p style=""color: black; font-weight: bold; font-style: italic; text-align: right; font-size: 8pt; margin: 0; line-height: 1;""><br></p>"
