"true_treatment_ordered","session","period","group","game","global_group","chat_decent","chat_advice","chat_cent","strategy1","strategy2","coordinate","coordinate_safe","coordinate_efficient","coordinate_other","payoff_b1","payoff_b2","payoff_manager","any_suggestion","suggest_safe","suggest_efficient","last_suggest_efficient","agree_proposal","discuss_coordinate","discuss_fairness","discuss_efficient","discuss_rules","discuss_howtoplay","explanation","ask_game","receive_report","truthful","falsehood","contradict","disagreement","neither_report","truth_a1","truth_a2","false_a1","false_a2","nummess_man","nummess_agent","man_suggest_safe","man_suggest_efficient","man_agree_proposal","man_discuss_coordinate","man_discuss_fairness","man_discuss_efficient","man_discuss_rules","man_discuss_howtoplay","man_explanation","man_ask_game"
"CH/A-D","35","1","1","4","11","0","1","0","1","3","0","0","0","0","-14","8","-6","1","0.5","0.5","0.5","0","0","0","0.66666669","0.33333334","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","5","12","0","1","0","0","0","0.66666669","0","0.66666669","0.66666669","0"
"CH/A-D","35","2","1","2","11","0","1","0","2","2","1","0","1","0","33","47","80","1","0","1","1","1","0.33333334","0.66666669","0.66666669","0","0","0.66666669","0.5","1","1","0","0","0","0","0","1","0","0","8","15","0","0","0.5","0.33333334","0","0.33333334","0","0","0.66666669","0.5"
"CH/A-D","35","3","1","5","11","0","1","0","5","5","1","0","1","0","54","26","80","1","0","1","1","1","0","0","0","0","0","0.66666669","0","1","1","0","0","0","0","0","1","0","0","5","9","0","1","0","0","0","0","0","0","0","0"
"CH/A-D","35","4","1","3","11","0","1","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","0","0","0","0.66666669","0","0","1","1","0","0","0","0","0.5","1","0","0","2","6","0","1","0","0","0","0","0","0","0","0"
"CH/A-D","35","5","1","5","11","0","1","0","5","5","1","0","1","0","54","26","80","1","0","1","1","0","0","1","0","0","0","0.33333334","0","1","1","0","0","0","0","0","1","0","0","3","13","0","0.5","0","0","1","0","0","0","0.33333334","0"
"CH/A-D","35","6","1","1","11","0","1","0","1","1","1","0","1","0","26","54","80","1","0","0.5","1","1","0","1","0","0","0.33333334","1","0","1","1","0","0","0","0","0","1","0","0","6","15","0","0.5","1","0","1","0","0","0.33333334","1","0"
"CH/A-D","35","7","1","5","11","0","1","0","5","5","1","0","1","0","54","26","80","1","0","1","1","1","0","1","0.33333334","0","0","0","0","1","1","0","0","0","0","1","1","0","0","3","11","0","1","0","0","1","0.33333334","0","0","0","0"
"CH/A-D","35","8","1","2","11","0","1","0","2","2","1","0","1","0","33","47","80","1","0","1","1","0.5","0","0.66666669","0.66666669","0","0","1","0","1","1","0","0","0","0","0.5","1","0","0","4","11","0","1","0","0","0.66666669","0","0","0","0.66666669","0"
"CH/A-D","35","9","1","2","11","0","1","0","3","2","0","0","0","0","22","33","55","1","1","1","1","0","0","1","0.66666669","0","0","0.66666669","0","1","1","0","0","0","0","1","0","0","0","4","15","0","1","0","0","0.66666669","0.66666669","0","0","0.66666669","0"
"CH/A-D","35","10","1","4","11","0","1","0","4","4","1","0","1","0","47","33","80","1","0","1","1","0","0.66666669","0.33333334","0.66666669","0.66666669","0.33333334","0.66666669","0","1","1","0","0","0","0","1","0","0","0","10","15","0","1","0","0","0.33333334","0.66666669","0","0","0.66666669","0"
"CH/A-D","35","11","1","2","11","0","1","0","2","2","1","0","1","0","33","47","80","1","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","5","14","0","1","0","0","0","0","0","0","0","1"
"CH/A-D","35","12","1","3","11","0","1","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","1","0.33333334","0","0","0.66666669","0","1","1","0","0","0","0","1","1","0","0","4","11","0","1","1","0","1","0","0","0","0.66666669","0"
"CH/A-D","35","13","1","1","11","0","1","0","1","1","1","0","1","0","26","54","80","1","0","1","1","1","0","0.66666669","1","1","0","1","0","1","1","0","0","0","0","0","1","0","0","5","12","0","0","0","0","0","0","0","0","1","0"
"CH/A-D","35","14","1","5","11","0","1","0","5","5","1","0","1","0","54","26","80","1","0","1","1","0.5","0","0.66666669","0.33333334","0","0","0.66666669","0","1","1","0","0","0","0","0","1","0","0","3","13","0","0","0","0","0.66666669","0","0","0","0","0"
"CH/A-D","35","15","1","3","11","0","1","0","3","3","1","1","1","0","40","40","80","1","1","1","1","0","0","1","0","0","0","0.66666669","0","1","1","0","0","0","0","0","1","0","0","8","13","0","0","0","0","1","0","0","0","0.66666669","0"
"CH/A-D","35","16","1","1","11","0","1","0","1","1","1","0","1","0","26","54","80","1","0","1","1","0.5","0","0.66666669","0.66666669","0","0","0.66666669","0","1","1","0","0","0","0","0","1","0","0","2","11","0","0","0.5","0","0","0","0","0","0.66666669","0"
"CH/A-D","35","17","1","1","11","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","0","0","1","0.66666669","0","0","0.66666669","0","0.5","0.5","0","0","0","0","0","0.5","0","0","3","12","0","0","0","0","0","0.66666669","0","0","0.66666669","0"
"CH/A-D","35","18","1","2","11","0","1","0","2","2","1","0","1","0","33","47","80","1","0","1","1","1","0","0","0.66666669","0","0","0.66666669","0","1","1","0","0","0","0","0","1","0","0","6","12","0","0","1","0","0","0","0","0","0.66666669","0"
"CH/A-D","36","1","1","4","12","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","2","1","2","12","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0","0.66666669","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","3","1","5","12","0","1","0","3","3","1","1","0","0","32","32","64","0.5","0.5","0","0","1","0","0.66666669","0.66666669","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","4","1","3","12","0","1","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","0.66666669","0","0","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","1","4","0","1","0","0","0","0","0","0","0","0"
"CH/A-D","36","5","1","5","12","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","0.5","0","1","1","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","7","6","0","0","0","0","1","1","0","0","0.66666669","0"
