"Package", "Name","Version"
"abind","abind","1.4-5"
"AER","AER","1.2-9"
"arm","arm","1.12-2"
"askpass","askpass","1.1"
"assertthat","assertthat","0.2.1"
"backports","backports","1.4.1"
"bannerCommenter","bannerCommenter","1.0.0"
"base64enc","base64enc","0.1-3"
"bayestestR","bayestestR","0.11.5"
"bdsmatrix","bdsmatrix","1.3-4"
"BH","BH","1.78.0-0"
"bit","bit","4.0.4"
"bit64","bit64","4.0.5"
"blob","blob","1.2.2"
"brew","brew","1.0-7"
"brio","brio","1.1.3"
"broom","broom","0.7.12"
"bslib","bslib","0.3.1"
"cachem","cachem","1.0.6"
"callr","callr","3.7.0"
"car","car","3.0-12"
"carData","carData","3.0-5"
"cellranger","cellranger","1.1.0"
"checkmate","checkmate","2.0.0"
"cli","cli","3.2.0"
"clipr","clipr","0.8.0"
"clue","clue","0.3-60"
"clusrank","clusrank","1.0-2"
"coda","coda","0.19-4"
"collapse","collapse","1.7.6"
"colorspace","colorspace","2.0-3"
"commonmark","commonmark","1.8.0"
"cpp11","cpp11","0.4.2"
"crayon","crayon","1.5.0"
"credentials","credentials","1.3.2"
"crosstalk","crosstalk","1.2.0"
"curl","curl","4.3.2"
"CVXR","CVXR","1.0-10"
"data.table","data.table","1.14.2"
"datawizard","datawizard","0.3.0"
"DBI","DBI","1.1.2"
"dbplyr","dbplyr","2.1.1"
"dcurver","dcurver","0.9.2"
"Deriv","Deriv","4.1.3"
"desc","desc","1.4.1"
"devtools","devtools","2.4.3"
"diffobj","diffobj","0.3.5"
"digest","digest","0.6.29"
"directlabels","directlabels","2021.1.13"
"dplyr","dplyr","1.0.8"
"DT","DT","0.22"
"dtplyr","dtplyr","1.2.1"
"e1071","e1071","1.7-9"
"ECOSolveR","ECOSolveR","0.5.4"
"effects","effects","4.2-1"
"effectsize","effectsize","0.6.0.1"
"ellipsis","ellipsis","0.3.2"
"emmeans","emmeans","1.7.2"
"entropy","entropy","1.3.1"
"estimability","estimability","1.3"
"evaluate","evaluate","0.15"
"extrafont","extrafont","0.17"
"extrafontdb","extrafontdb","1.0"
"fansi","fansi","1.0.3"
"farver","farver","2.1.0"
"fastDummies","fastDummies","1.6.3"
"fastmap","fastmap","1.1.0"
"fastmatch","fastmatch","1.1-3"
"fontawesome","fontawesome","0.2.2"
"forcats","forcats","0.5.1"
"foreach","foreach","1.5.2"
"Formula","Formula","1.2-4"
"fs","fs","1.5.2"
"FSelector","FSelector","0.33"
"gargle","gargle","1.2.0"
"generics","generics","0.1.2"
"gert","gert","1.5.0"
"ggeffects","ggeffects","1.1.1"
"ggplot2","ggplot2","3.3.5"
"ggrepel","ggrepel","0.9.1"
"gh","gh","1.3.0"
"gitcreds","gitcreds","0.1.1"
"glmnet","glmnet","4.1-4"
"glmnetUtils","glmnetUtils","1.1.8"
"glue","glue","1.6.2"
"gmp","gmp","0.6-6"
"googledrive","googledrive","2.0.0"
"googlesheets4","googlesheets4","1.0.0"
"GPArotation","GPArotation","2014.11-1"
"gridExtra","gridExtra","2.3"
"gtable","gtable","0.3.0"
"gtools","gtools","3.9.2"
"haven","haven","2.4.3"
"highr","highr","0.9"
"Hmisc","Hmisc","4.6-0"
"hms","hms","1.1.1"
"htmlTable","htmlTable","2.4.0"
"htmltools","htmltools","0.5.2"
"htmlwidgets","htmlwidgets","1.5.4"
"httpuv","httpuv","1.6.5"
"httr","httr","1.4.2"
"ids","ids","1.0.1"
"igraph","igraph","1.2.11"
"ini","ini","0.3.1"
"insight","insight","0.16.0"
"isoband","isoband","0.2.5"
"ISOcodes","ISOcodes","2022.01.10"
"iterators","iterators","1.0.14"
"jpeg","jpeg","0.1-9"
"jquerylib","jquerylib","0.1.4"
"jsonlite","jsonlite","1.8.0"
"knitr","knitr","1.37"
"labeling","labeling","0.4.2"
"later","later","1.3.0"
"latticeExtra","latticeExtra","0.6-29"
"lavaan","lavaan","0.6-10"
"lazyeval","lazyeval","0.2.2"
"lda","lda","1.4.2"
"lifecycle","lifecycle","1.0.1"
"lme4","lme4","1.1-28"
"lmtest","lmtest","0.9-40"
"lubridate","lubridate","1.8.0"
"magrittr","magrittr","2.0.2"
"maptools","maptools","1.1-3"
"markdown","markdown","1.1"
"MatrixModels","MatrixModels","0.5-0"
"matrixStats","matrixStats","0.61.0"
"maxLik","maxLik","1.5-2"
"MBESS","MBESS","4.9.0"
"memisc","memisc","0.99.30.7"
"memoise","memoise","2.0.1"
"mi","mi","1.0"
"mice","mice","3.14.0"
"miceadds","miceadds","3.12-26"
"mime","mime","0.12"
"minqa","minqa","1.2.4"
"mirt","mirt","1.36.1"
"miscTools","miscTools","0.6-26"
"mitools","mitools","2.4"
"mnormt","mnormt","2.0.2"
"modelr","modelr","0.1.8"
"munsell","munsell","0.5.0"
"mvtnorm","mvtnorm","1.1-3"
"network","network","1.17.1"
"nloptr","nloptr","2.0.0"
"NLP","NLP","0.2-1"
"numDeriv","numDeriv","2016.8-1.1"
"OpenMx","OpenMx","2.20.6"
"openssl","openssl","2.0.0"
"osqp","osqp","0.6.0.5"
"parameters","parameters","0.17.0"
"pbapply","pbapply","1.5-0"
"pbivnorm","pbivnorm","0.6.0"
"pbkrtest","pbkrtest","0.5.1"
"performance","performance","0.8.0"
"perm","perm","1.0-0.2"
"permute","permute","0.9-7"
