,Session,Crosssect,Comp,Pair,Period,Subject,Groupe,ID,Inv,OtherInv,Payoff,OtherPayoff
1,2,182,1,191,1,18,9,2,26,14,-12.326,58.186
2,2,183,1,191,1,17,9,1,14,26,58.186,-12.326
3,2,184,1,192,1,16,8,2,18,2,-13.558,-10.262
4,2,185,1,192,1,15,8,1,2,18,-10.262,-13.558
5,2,186,1,193,1,14,7,2,18,15,26.3975,38.072
6,2,187,1,193,1,13,7,1,15,18,38.072,26.3975
7,2,188,1,194,1,12,6,2,2,24,-6.836,-48.79
8,2,189,1,194,1,11,6,1,24,2,-48.79,-6.836
9,2,190,1,195,1,10,5,2,8,12,14.752,13.928
10,2,191,1,195,1,9,5,1,12,8,13.928,14.752
11,2,192,1,196,1,8,4,2,28,15,-21.9925,65.452
12,2,193,1,196,1,7,4,1,15,28,65.452,-21.9925
13,2,194,1,197,1,6,3,2,18,18,35.882,35.882
14,2,195,1,197,1,5,3,1,18,18,35.882,35.882
15,2,196,1,198,1,4,2,2,2,0,-18.164,-27.958
16,2,197,1,198,1,3,2,1,0,2,-27.958,-18.164
17,2,198,1,199,1,2,1,2,20,0,-29.72,-25.6
18,2,199,1,199,1,1,1,1,0,20,-25.6,-29.72
19,5,484,0,492,1,16,8,2,2,28,63.18654809,-6.573543445
20,5,485,0,492,1,15,8,1,28,2,-6.573543445,63.18654809
21,5,486,0,493,1,14,7,2,10,2,-2.338620844,4.072230751
22,5,487,0,493,1,13,7,1,2,10,4.072230751,-2.338620844
23,5,488,0,494,1,12,6,2,4,18,31.73177585,5.877154491
24,5,489,0,494,1,11,6,1,18,4,5.877154491,31.73177585
25,5,490,0,495,1,10,5,2,28,14,11.68152342,66.80740692
26,5,491,0,495,1,9,5,1,14,28,66.80740692,11.68152342
27,5,492,0,496,1,8,4,2,2,16,22.13664964,2.136280705
28,5,493,0,496,1,7,4,1,16,2,2.136280705,22.13664964
29,5,494,0,497,1,6,3,2,14,28,66.80740692,11.68152342
30,5,495,0,497,1,5,3,1,28,14,11.68152342,66.80740692
31,5,496,0,498,1,4,2,2,10,25,58.50369157,10.41696827
32,5,497,0,498,1,3,2,1,25,10,10.41696827,58.50369157
33,5,498,0,499,1,2,1,2,4,18,31.73177585,5.877154491
34,5,499,0,499,1,1,1,1,18,4,5.877154491,31.73177585
35,7,686,1,693,1,14,7,2,20,18,31.642,42.26
36,7,687,1,693,1,13,7,1,18,20,42.26,31.642
37,7,688,1,694,1,12,6,2,18,2,-13.558,-10.262
38,7,689,1,694,1,11,6,1,2,18,-10.262,-13.558
39,7,690,1,695,1,10,5,2,8,2,0.682,-15.092
40,7,691,1,695,1,9,5,1,2,8,-15.092,0.682
41,7,692,1,696,1,8,4,2,26,0,-73.604,-24.022
42,7,693,1,696,1,7,4,1,0,26,-24.022,-73.604
43,7,694,1,697,1,6,3,2,18,4,-7.532,3.29
44,7,695,1,697,1,5,3,1,4,18,3.29,-7.532
45,7,696,1,698,1,4,2,2,3,10,-8.48,3.9695
46,7,697,1,698,1,3,2,1,10,3,3.9695,-8.48
47,7,698,1,699,1,2,1,2,14.2,10,17.75488,23.62102
48,7,699,1,699,1,1,1,1,10,14.2,23.62102,17.75488
49,8,786,0,793,1,14,7,2,10,14,26.39787946,18.17452301
