"","Subject","Comp","Period","Inv","OtherInv","Payoff","OtherPayoff"
"1",182,1,26,22,22,40.6179999999999,40.6179999999999
"2",182,1,27,24,24,41.696,41.696
"3",182,1,28,26,26,41.914,41.914
"4",182,1,25,20,20,38.68,38.68
"5",182,1,20,14,13,25.2375,27.428
"6",182,1,8,18,12,17.012,35.258
"7",182,1,22,16,14,26.594,32.676
"8",182,1,19,14,12,22.78,26.594
"9",182,1,21,14,14,27.706,27.706
"10",182,1,15,11,10,17.376,17.8655
"11",182,1,2,10,16,26.908,15.466
"12",182,1,29,28,26,31.418,51.108
"13",182,1,7,20,26,60.058,14.596
"14",182,1,1,26,14,-12.326,58.186
"15",182,1,18,12,12,22.328,22.328
"16",182,1,9,20,10,3.93000000000003,34.34
"17",182,1,5,15,16,32.728,29.4035
"18",182,1,17,12,11,20.2115,21.268
"19",182,1,13,11,14,25.204,20.3335
"20",182,1,16,12,10,18.106,19.652
"21",182,1,4,10,28,49.732,-45.83
"22",182,1,10,10,8,12.572,11.85
"23",182,1,11,12,12,22.328,22.328
"24",182,1,14,11,11,19.3165,19.3165
"25",182,1,23,16,16,32.224,32.224
"26",182,1,24,18,18,35.882,35.882
"27",182,1,6,12,28,57.688,-36.328
"28",182,1,12,10,10,16.09,16.09
"29",182,1,3,5,18,9.232,-4.50249999999997
"30",182,1,30,18,18,35.882,35.882
"31",183,1,14,11,11,19.3165,19.3165
"32",183,1,28,26,26,41.914,41.914
"33",183,1,7,26,20,14.596,60.058
"34",183,1,9,10,20,34.34,3.93000000000003
"35",183,1,3,18,5,-4.50249999999997,9.232
"36",183,1,16,10,12,19.652,18.106
"37",183,1,23,16,16,32.224,32.224
"38",183,1,13,14,11,20.3335,25.204
"39",183,1,2,16,10,15.466,26.908
"40",183,1,15,10,11,17.8655,17.376
"41",183,1,22,14,16,32.676,26.594
"42",183,1,8,12,18,35.258,17.012
"43",183,1,27,24,24,41.696,41.696
"44",183,1,5,16,15,29.4035,32.728
"45",183,1,29,26,28,51.108,31.418
"46",183,1,25,20,20,38.68,38.68
"47",183,1,1,14,26,58.186,-12.326
"48",183,1,21,14,14,27.706,27.706
"49",183,1,18,12,12,22.328,22.328
"50",183,1,30,18,18,35.882,35.882
"51",183,1,24,18,18,35.882,35.882
"52",183,1,4,28,10,-45.83,49.732
"53",183,1,17,11,12,21.268,20.2115
"54",183,1,12,10,10,16.09,16.09
"55",183,1,19,12,14,26.594,22.78
"56",183,1,26,22,22,40.6179999999999,40.6179999999999
"57",183,1,6,28,12,-36.328,57.688
"58",183,1,11,12,12,22.328,22.328
"59",183,1,10,8,10,11.85,12.572
"60",183,1,20,13,14,27.428,25.2375
"61",184,1,3,14,20,42.748,17.698
"62",184,1,16,16,18,37.898,29.548
"63",184,1,9,16,14,26.594,32.676
"64",184,1,7,13,12,22.832,24.4555
"65",184,1,14,14,20,42.748,17.698
"66",184,1,23,13,16,32.068,23.7955
"67",184,1,8,14,16,32.676,26.594
"68",184,1,15,16,12,21.008,30.904
"69",184,1,28,16,15,29.4035,32.728
"70",184,1,22,12,20,39.656,10.792
"71",184,1,27,16,16,32.224,32.224
"72",184,1,13,10,16,26.908,15.466
"73",184,1,18,16,18,37.898,29.548
"74",184,1,19,18,24,55.148,16.49
"75",184,1,25,15,8,11.792,19.1875
"76",184,1,2,22,6,-20.0860000000001,19.498
"77",184,1,5,18,6,-1.46199999999996,14.618
"78",184,1,12,20,28,67.272,2.12000000000002
"79",184,1,26,15,16,32.728,29.4035
"80",184,1,21,10,28,49.732,-45.83
"81",184,1,6,16,10,15.466,26.908
"82",184,1,17,18,22,48.682,25.1779999999999
"83",184,1,29,12,11,20.2115,21.268
"84",184,1,1,18,2,-13.558,-10.262
"85",184,1,4,14,22,47.85,9.91399999999992
"86",184,1,10,16,20,43.616,24.648
"87",184,1,11,18,24,55.148,16.49
"88",184,1,20,20,0,-29.72,-25.6
"89",184,1,24,14,10,17.898,23.258
"90",184,1,30,14,27,60.7975,-19.2760000000001
"91",185,1,9,14,16,32.676,26.594
"92",185,1,23,16,13,23.7955,32.068
"93",185,1,7,12,13,24.4555,22.832
"94",185,1,28,15,16,32.728,29.4035
"95",185,1,27,16,16,32.224,32.224
"96",185,1,8,16,14,26.594,32.676
"97",185,1,14,20,14,17.698,42.748
"98",185,1,22,20,12,10.792,39.656
"99",185,1,25,8,15,19.1875,11.792
"100",185,1,21,28,10,-45.83,49.732
"101",185,1,3,20,14,17.698,42.748
"102",185,1,16,18,16,29.548,37.898
"103",185,1,26,16,15,29.4035,32.728
"104",185,1,1,2,18,-10.262,-13.558
"105",185,1,13,16,10,15.466,26.908
"106",185,1,15,12,16,30.904,21.008
"107",185,1,19,24,18,16.49,55.148
"108",185,1,20,0,20,-25.6,-29.72
"109",185,1,2,6,22,19.498,-20.0860000000001
"110",185,1,5,6,18,14.618,-1.46199999999996
"111",185,1,29,11,12,21.268,20.2115
"112",185,1,30,27,14,-19.2760000000001,60.7975
"113",185,1,6,10,16,26.908,15.466
"114",185,1,18,18,16,29.548,37.898
"115",185,1,12,28,20,2.12000000000002,67.272
"116",185,1,10,20,16,24.648,43.616
"117",185,1,4,22,14,9.91399999999992,47.85
"118",185,1,11,24,18,16.49,55.148
"119",185,1,17,22,18,25.1779999999999,48.682
"120",185,1,24,10,14,23.258,17.898
"121",186,1,2,28,22,11.842,64.1079999999999
"122",186,1,15,20,18,31.642,42.26
"123",186,1,12,18,20,42.26,31.642
"124",186,1,13,22,18,25.1779999999999,48.682
"125",186,1,1,18,15,26.3975,38.072
"126",186,1,5,20,22,45.762,32.8759999999999
"127",186,1,28,15,16,32.728,29.4035
"128",186,1,11,20,22,45.762,32.8759999999999
"129",186,1,6,20,20,38.68,38.68
"130",186,1,3,20,26,60.058,14.596
"131",186,1,8,20,18,31.642,42.26
"132",186,1,9,21,20,36.056,42.2155
"133",186,1,4,21,20,36.056,42.2155
"134",186,1,7,20,20,38.68,38.68
"135",186,1,16,14,18,37.69,23.258
