"","Subject","Comp","Period","Inv","OtherInv","Payoff","OtherPayoff"
"1",484,0,8,6,26,60.1006398379504,2.25742208482978
"2",484,0,23,20,10,16.3958555212075,43.2266599594876
"3",484,0,15,0,18,24.6594551064652,-1.05530494901324
"4",484,0,1,2,28,63.1865480945135,-6.5735434450149
"5",484,0,10,24,10,11.9397758506928,55.3571544914695
"6",484,0,9,6,10,11.3892359125194,6.5111665643918
"7",484,0,5,26,0,-6.08545190548649,52.8024565549851
"8",484,0,24,18,12,21.9292114550411,38.0276941180092
"9",484,0,17,20,6,8.75802827787728,40.466902064285
"10",484,0,16,2,10,4.07223075132588,-2.33862084368105
"11",484,0,28,18,8,13.5386599594876,36.1878555212074
"12",484,0,2,16,2,2.13628070506175,22.1366496371006
"13",484,0,13,10,16,31.8252114550411,18.2356941180092
"14",484,0,6,18,4,5.87715449146952,31.7317758506928
"15",484,0,3,18,6,9.61677647203666,34.2868458201642
"16",484,0,25,16,4,5.88774179797285,25.539880494228
"17",484,0,20,18,12,21.9292114550411,38.0276941180092
"18",484,0,4,28,2,-6.5735434450149,63.1865480945135
"19",484,0,26,16,6,9.82146439776778,28.2890510829273
"20",484,0,21,18,6,9.61677647203666,34.2868458201642
"21",484,0,11,14,10,18.1745230137677,26.3978794631435
"22",484,0,27,26,10,8.73064561279314,61.6957940177862
"23",484,0,22,18,8,13.5386599594876,36.1878555212074
"24",484,0,12,2,10,4.07223075132588,-2.33862084368105
"25",484,0,18,18,24,51.4751421069135,27.8497634661367
"26",484,0,7,6,2,-8.59218988498406,-7.05940763810473
"27",484,0,29,8,2,-5.13837523011844,-1.58471919683134
"28",484,0,19,18,10,17.6428049538224,37.4348049538224
"29",484,0,14,14,12,22.8491307534419,27.3789698657859
"30",484,0,30,16,10,18.2356941180092,31.8252114550411
"31",485,0,11,10,14,26.3978794631435,18.1745230137677
"32",485,0,10,10,24,55.3571544914695,11.9397758506928
"33",485,0,18,24,18,27.8497634661367,51.4751421069135
"34",485,0,23,10,20,43.2266599594876,16.3958555212075
"35",485,0,8,26,6,2.25742208482978,60.1006398379504
"36",485,0,19,10,18,37.4348049538224,17.6428049538224
"37",485,0,12,10,2,-2.33862084368105,4.07223075132588
"38",485,0,9,10,6,6.5111665643918,11.3892359125194
"39",485,0,21,6,18,34.2868458201642,9.61677647203666
"40",485,0,20,12,18,38.0276941180092,21.9292114550411
"41",485,0,24,12,18,38.0276941180092,21.9292114550411
"42",485,0,1,28,2,-6.5735434450149,63.1865480945135
"43",485,0,6,4,18,31.7317758506928,5.87715449146952
"44",485,0,28,8,18,36.1878555212074,13.5386599594876
"45",485,0,13,16,10,18.2356941180092,31.8252114550411
"46",485,0,7,2,6,-7.05940763810473,-8.59218988498406
"47",485,0,29,2,8,-1.58471919683134,-5.13837523011844
"48",485,0,15,18,0,-1.05530494901324,24.6594551064652
"49",485,0,25,4,16,25.539880494228,5.88774179797285
"50",485,0,30,10,16,31.8252114550411,18.2356941180092
"51",485,0,16,10,2,-2.33862084368105,4.07223075132588
"52",485,0,26,6,16,28.2890510829273,9.82146439776778
"53",485,0,5,0,26,52.8024565549851,-6.08545190548649
"54",485,0,17,6,20,40.466902064285,8.75802827787728
"55",485,0,22,8,18,36.1878555212074,13.5386599594876
"56",485,0,4,2,28,63.1865480945135,-6.5735434450149
"57",485,0,14,12,14,27.3789698657859,22.8491307534419
"58",485,0,2,2,16,22.1366496371006,2.13628070506175
"59",485,0,27,10,26,61.6957940177862,8.73064561279314
"60",485,0,3,6,18,34.2868458201642,9.61677647203666
"61",486,0,9,20,2,1.84924706208246,35.0909030953695
"62",486,0,10,18,2,2.31979401778622,28.5226456127931
"63",486,0,11,28,2,-6.5735434450149,63.1865480945135
"64",486,0,13,28,2,-6.5735434450149,63.1865480945135
"65",486,0,2,10,2,-2.33862084368105,4.07223075132588
"66",486,0,14,14,2,1.29870712390905,15.9329151682918
"67",486,0,3,28,2,-6.5735434450149,63.1865480945135
"68",486,0,18,2,2,-17.462,-17.462
"69",486,0,4,18,2,2.31979401778622,28.5226456127931
"70",486,0,30,2,2,-17.462,-17.462
"71",486,0,29,2,2,-17.462,-17.462
"72",486,0,28,2,2,-17.462,-17.462
"73",486,0,12,0,2,-22.8779954601503,-22.3899039206219
"74",486,0,8,28,2,-6.5735434450149,63.1865480945135
"75",486,0,6,10,2,-2.33862084368105,4.07223075132588
"76",486,0,5,10,4,1.99514210691346,8.05776346613676
"77",486,0,15,0.2,2,-22.306963202056,-21.9053152963695
"78",486,0,7,0,2,-22.8779954601503,-22.3899039206219
"79",486,0,19,2,2,-17.462,-17.462
"80",486,0,23,18,2,2.31979401778622,28.5226456127931
"81",486,0,21,2,2,-17.462,-17.462
"82",486,0,20,2,28,63.1865480945135,-6.5735434450149
"83",486,0,1,10,2,-2.33862084368105,4.07223075132588
"84",486,0,22,2,2,-17.462,-17.462
"85",486,0,16,2,2,-17.462,-17.462
"86",486,0,26,28,2,-6.5735434450149,63.1865480945135
"87",486,0,25,2,2,-17.462,-17.462
"88",486,0,24,10,2,-2.33862084368105,4.07223075132588
"89",486,0,27,2,2,-17.462,-17.462
"90",486,0,17,10,2,-2.33862084368105,4.07223075132588
"91",487,0,10,2,18,28.5226456127931,2.31979401778622
"92",487,0,1,2,10,4.07223075132588,-2.33862084368105
"93",487,0,9,2,20,35.0909030953695,1.84924706208246
"94",487,0,13,2,28,63.1865480945135,-6.5735434450149
"95",487,0,7,2,0,-22.3899039206219,-22.8779954601503
"96",487,0,18,2,2,-17.462,-17.462
"97",487,0,14,2,14,15.9329151682918,1.29870712390905
"98",487,0,8,2,28,63.1865480945135,-6.5735434450149
"99",487,0,19,2,2,-17.462,-17.462
"100",487,0,4,2,18,28.5226456127931,2.31979401778622
"101",487,0,3,2,28,63.1865480945135,-6.5735434450149
"102",487,0,5,4,10,8.05776346613676,1.99514210691346
"103",487,0,11,2,28,63.1865480945135,-6.5735434450149
"104",487,0,16,2,2,-17.462,-17.462
"105",487,0,15,2,0.2,-21.9053152963695,-22.306963202056
"106",487,0,28,2,2,-17.462,-17.462
"107",487,0,2,2,10,4.07223075132588,-2.33862084368105
"108",487,0,22,2,2,-17.462,-17.462
"109",487,0,23,2,18,28.5226456127931,2.31979401778622
"110",487,0,6,2,10,4.07223075132588,-2.33862084368105
"111",487,0,20,28,2,-6.5735434450149,63.1865480945135
"112",487,0,24,2,10,4.07223075132588,-2.33862084368105
"113",487,0,29,2,2,-17.462,-17.462
"114",487,0,12,2,0,-22.3899039206219,-22.8779954601503
"115",487,0,30,2,2,-17.462,-17.462
"116",487,0,27,2,2,-17.462,-17.462
"117",487,0,21,2,2,-17.462,-17.462
"118",487,0,17,2,10,4.07223075132588,-2.33862084368105
"119",487,0,25,2,2,-17.462,-17.462
"120",487,0,26,2,28,63.1865480945135,-6.5735434450149
"121",488,0,4,10,16,31.8252114550411,18.2356941180092
"122",488,0,3,8,8,8.992,8.992
"123",488,0,13,28,10,4.86745510646527,68.2166950509867
"124",488,0,18,24,20,32.2829141372073,48.8694883397039
"125",488,0,5,12,14,27.3789698657859,22.8491307534419
"126",488,0,14,24,28,51.838131890328,31.9062705865832
"127",488,0,1,4,18,31.7317758506928,5.87715449146952
"128",488,0,29,28,14,11.6815234235084,66.807406918654
"129",488,0,23,28,20,23.2695872007018,59.7880227069431
"130",488,0,9,20,12,20.4881614031983,43.6254485044466
"131",488,0,8,18,12,21.9292114550411,38.0276941180092
"132",488,0,19,28,20,23.2695872007018,59.7880227069431
"133",488,0,10,22,12,18.3930510829273,49.4054643977678
"134",488,0,15,28,26,36.4980045398497,46.8820960793781
"135",488,0,30,26,14,15.9329151682918,60.674707123909
"136",488,0,11,24,12,15.643880494228,55.3677417979728
"137",488,0,6,14,14,27.706,27.706
"138",488,0,21,26,24,37.1281654275057,46.6759351917221
"139",488,0,2,6,4,-3.87022569593395,-2.68567368483825
"140",488,0,24,28,20,23.2695872007018,59.7880227069431
"141",488,0,22,24,20,32.2829141372073,48.8694883397039
"142",488,0,26,20,22,43.68361341641,35.8084872028178
"143",488,0,25,18,20,40.897452528754,33.8586480904738
"144",488,0,20,22,22,40.618,40.618
"145",488,0,27,16,18,37.251291641098,31.0488089781299
"146",488,0,16,20,24,48.8694883397039,32.2829141372073
"147",488,0,12,26,10,8.73064561279314,61.6957940177862
"148",488,0,7,16,14,27.3789698657859,32.7451307534419
"149",488,0,17,26,22,32.5245923618953,50.7838101150159
"150",488,0,28,14,18,37.9665230137677,26.3978794631435
"151",489,0,18,20,24,48.8694883397039,32.2829141372073
"152",489,0,3,8,8,8.992,8.992
"153",489,0,13,10,28,68.2166950509867,4.86745510646527
"154",489,0,23,20,28,59.7880227069431,23.2695872007018
"155",489,0,8,12,18,38.0276941180092,21.9292114550411
"156",489,0,19,20,28,59.7880227069431,23.2695872007018
"157",489,0,6,14,14,27.706,27.706
"158",489,0,9,12,20,43.6254485044466,20.4881614031983
"159",489,0,4,16,10,18.2356941180092,31.8252114550411
"160",489,0,24,20,28,59.7880227069431,23.2695872007018
"161",489,0,29,14,28,66.807406918654,11.6815234235084
"162",489,0,10,12,22,49.4054643977678,18.3930510829273
"163",489,0,25,20,18,33.8586480904738,40.897452528754
"164",489,0,14,28,24,31.9062705865832,51.838131890328
"165",489,0,1,18,4,5.87715449146952,31.7317758506928
"166",489,0,16,24,20,32.2829141372073,48.8694883397039
"167",489,0,5,14,12,22.8491307534419,27.3789698657859
"168",489,0,20,22,22,40.618,40.618
"169",489,0,7,14,16,32.7451307534419,27.3789698657859
"170",489,0,22,20,24,48.8694883397039,32.2829141372073
"171",489,0,28,18,14,26.3978794631435,37.9665230137677
"172",489,0,2,4,6,-2.68567368483825,-3.87022569593395
"173",489,0,30,14,26,60.674707123909,15.9329151682918
"174",489,0,11,12,24,55.3677417979728,15.643880494228
"175",489,0,26,22,20,35.8084872028178,43.68361341641
"176",489,0,15,26,28,46.8820960793781,36.4980045398497
"177",489,0,12,10,26,61.6957940177862,8.73064561279314
"178",489,0,17,22,26,50.7838101150159,32.5245923618953
"179",489,0,27,18,16,31.0488089781299,37.251291641098
"180",489,0,21,24,26,46.6759351917221,37.1281654275057
"181",490,0,26,11,18,37.8130070694693,19.7632255160713
"182",490,0,3,4,14,19.5302466446471,5.24426883604795
"183",490,0,13,14,10,18.1745230137677,26.3978794631435
"184",490,0,8,24,18,27.8497634661367,51.4751421069135
"185",490,0,27,12,16,32.6122012384556,22.7162012384556
"186",490,0,18,11,16,32.3004638803019,20.4531649898719
"187",490,0,30,10,14,26.3978794631435,18.1745230137677
"188",490,0,4,18,5,7.72418279339261,33.091068368982
"189",490,0,24,16,18,37.251291641098,31.0488089781299
"190",490,0,29,14,12,22.8491307534419,27.3789698657859
"191",490,0,9,24,16,23.59887430195,53.4267356056948
"192",490,0,25,18,17,33.4426218007045,36.6484033541025
"193",490,0,7,22,20,35.8084872028178,43.68361341641
