session,country,Subject,communication,delay,role,numrolls,numins,firstquest,secondquest,Belief,Belief2,Belief2nd,BeliefOtherGroup,age,female,time,risk,Message,Recalled_Message,recall_missing,is_promise,recalled_as_promise,is_efficiency,is_ethics,Early,Late,ImmNoComm,EarlyNoComm,LateNoComm,ImmComm,EarlyComm,LateComm
141110_1315,0,1,1,1,1,10,,1,1,0,,,,24,0,10,7,"I will choose roll on all the desicions, in order for both of us to have the chance to get more money if you are interested.",I will choose roll to all the decision tasks in order both of us to get more money if you are interested.,0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,2,1,1,1,5,,1,1,94,,,70,25,1,6,5,"Hello person A! So according to probabilities, if you choose IN and I ROLL, then  there is 83.33% probability that you will get 36 chf and  I will get 30 CHF at each time (that is the probabiliy that the dice shows 2,3,4,5 or 6). So each time I roll there is 84% (=5/6) probability that we will get maximum profit. Therefore, please choose always IN and I will always choose ROLL!","Hello! if you choose IN and I choose Roll, there is each time 84% probability that we will have maximum profit, you 36 and me 30 Chf. So always choose In and I will always choose Roll. Cheers!",0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,4,1,1,1,8,,1,1,100,,,82,22,0,11,10,We should agree on choosing in and rolling otherwise its not going to be fair for one of us. ,We should select in and roll.,0,0,1,0,1,1,0,0,0,0,0,1,0
141110_1315,0,5,1,1,1,10,,1,1,39,,,50,23,0,7,5,"I will choose ""ROLL"". Regards.","I will choose ""ROLL"". Regards.",0,1,1,0,0,1,0,0,0,0,0,1,0
141110_1315,0,6,1,1,1,10,,1,1,75,,,75,20,0,10,7,"I promise to ""ROLL"" if you choose ""IN"". This way we would both win. Your expectation would be 5/6 * 36 = 30 and mine 30, too. Hence we could double our payoff. This is a win-win-situation. ","I promise to ""ROLL"" if you go for ""IN"". This way, we would both win as your expectation would be 5/6*36=30 and mine 30. Hence this would be a win-win-situation.",0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,8,1,1,1,0,,1,1,74,,,40,26,1,11,8,,,0,0,0,0,0,1,0,0,0,0,0,1,0
141110_1315,0,11,1,1,1,10,,1,1,80,,,85,22,0,10,7,"Hi so, I guess we are both here to get the most money out of it. I suggest we make it simple, 15 CHF is not the best we can get, also it would not be fair for me to choose ""DON'T ROLL"" because that would mean you get nothing. I will go for ""ROLL"" in all 10 decisions, and we can both be happy :D Thanks, I hope I can count on you! You can certainly count on me!","Hi, let's Keep it simple, I think we are both here to get the most out of it, 15 CHF is not a lot, therefore I suggest that you choose ? ""IN"" for all your decisions and I will choose ""ROLL"", so we both have a high chance of getting a higher income. I hope I can count on you! You can certainly yount on me! :D",0,1,1,1,1,1,0,0,0,0,0,1,0
141110_1315,0,12,1,1,1,10,,1,1,81,,,74,20,1,7,6,"Hi there, I hope you will always go for IN, because I will click on ROLL. So you will have a high probability to receive 36 CHF and I may receive 30CHF. I think that is the best strategy to make the most out of this study. best regards person B","hi there, i hope you will always go for In, because i will click on roll. So you would have a high chance to receive 36 CHF and i will get 30CHF. it would be the best strategy to make the most out of this study. best regards person B",0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,13,1,1,1,9,,1,1,50,,,50,25,0,0,11,"dear A. If we cooperate we can both get more than 15 francs. If you choose IN I will always choose ROLL, so your chance to get 36 francs will be very high. Since I would not want to be screwed over for the price of a beer and a pack of cigarettes (12 francs) if I was A, I won't choose DONT ROLL, so don't worry.  cheers, yours sincerely, B","dear A, if we cooperate we can both get more than 15 francs. if you choose IN I will always choose ROLL. don't worry, i wouldn't want to be screwed over for the price of a beer and a pack of cigarettes (12francs) if i was A, so i wont screw you over. cheers, sincerely B",0,1,1,1,1,1,0,0,0,0,0,1,0
141110_1315,0,15,1,1,1,10,,1,1,0,,,0,23,0,7,7,"We could both win if you choose IN all the time and I roll. You will only have a 1/6 chance of not getting paid. Trust me, or not.. Good luck!","You should choose IN for every decision, in order for both of us to win. If you do so, you will only have a 1/6 percent chance to lose. Good luck!",0,1,0,1,0,1,0,0,0,0,0,1,0
141110_1315,0,19,1,1,1,10,,1,1,81,,,75,25,0,7,8,"Hey A, I think the way to maxmize both our profits here is that I would trust that you make the IN decision and  you trust that I make the ROLL decision , which I think have better earnings than just a mere 15 CH, cheers","Hey A, I would trust that you 'd choose IN and that you'd have to trust me to choose roll in order to maximize our benefits, not just a mere 15 CH",0,1,0,1,0,1,0,0,0,0,0,1,0
141110_1315,0,21,1,1,1,0,,1,1,10,,,,20,0,10,5,"choose ""in"", i will then roll, the chance will be 5 in 6 that you will get 36.- and i will get 30.- thats maximum pay off for you. and i will be making 30.- so you will in any case still end up with more money than me: 36 CHF!","Choose ""in"", i will then choose roll, there will then be a 5in6 chance that you will recieve 26.- and i wil recieve 30.-, / thats maximizes the payoff for you.",0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,22,1,1,1,10,,1,1,50,,,50,22,1,10,6,if you chose IN i will always chose ROLL so both our chances will be as high as possible to earn more than 15 chf. so the chance for you to win 36 and me 30 chf will be high and not just 15chf if you choose out. hope that's fine ,"if you take IN, the chance of us both earning more then 15 chf is quite big, because i will choose ROLL, so your payment would be 36chf and mine 30chf. so we both get something out of this, hope thats fine",0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,26,1,1,1,10,,1,1,18,,,12,23,0,10,5,"Hello Person A, I just wanted to inform you that I will take 10 times ROLL, since I can't lose anything anyway, and it's the best outcome for both of us.",Hello Person A. I just wanted to tell you that I'm going to ROLL 10 times anyway. It's the best decision for both of us.,0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1315,0,28,1,1,1,10,,1,1,59,,,34,20,0,10,7,"I promise that I will choose ROLL in every decision. If you choose IN in every decision, the profit will be maximized for both of us.","I promise that I will only choose ROLL. If you only choose IN, our profits will be both maximized.",0,1,1,1,0,1,0,0,0,0,0,1,0
141110_1515,0,1,1,2,1,10,,1,1,45,,,80,19,1,9,10,Let's make this fair. I guess we BOTH want some money. ,,1,0,1,0,1,0,1,0,0,0,0,0,1
141110_1515,0,7,1,2,1,10,,1,1,75,,,90,22,0,7,5,"I'll be nice and always chose role, as otherwise you risk a payoff of only 15 or even 0. With In and Roll the chance for a nice payment is the highest.",,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,11,1,2,1,5,,1,1,76,,,44,19,1,11,3,"hey, you should always choose IN and i will always choose Roll so in that way, we will have more chances of receiving more money.",,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,12,1,2,1,0,,1,1,55,,,42,24,1,10,7,I case you choose IN - I'll always choose ROLL. Since it's more money for both of us.,,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,13,1,2,1,0,,1,1,12,,,19,25,1,7,5,if you chose IN I will chose ROLL so you could earn 36 in the best case,,1,1,1,0,0,0,1,0,0,0,0,0,1
141110_1515,0,14,1,2,1,4,,1,1,50,,,50,20,1,10,8,"hi, will choose roll. if you want, press out for maybe 5/10 times. That way you will definitely get something  hopefully. ",,1,1,1,0,0,0,1,0,0,0,0,0,1
141110_1515,0,15,1,2,1,10,,1,1,55,,,60,25,1,11,6,Hey there. :) I hope the dice when rolled give any number but one. :),,1,0,1,0,0,0,1,0,0,0,0,0,1
141110_1515,0,16,1,2,1,10,,1,1,91,,,90,20,1,10,9,"I will always choose roll and you choose IN, so our chances are at highest for getting good money. I will not choose dont roll, i promise!",,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,17,1,2,1,0,,1,1,10,,,15,24,1,9,9,if you choose in i will roll so that we both have chances for 30 francs or more,,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,21,1,2,1,2,,1,1,70,,,65,26,0,11,6,"we can choose IN and choose roll 2, 3, 4, 5 or 6...",,1,1,1,0,0,0,1,0,0,0,0,0,1
141110_1515,0,22,1,2,1,10,,1,1,81,,,100,27,0,11,7,"Hello A, nice to meet you. As far as I know, it would be the best if you choose IN and I choose ROLL. Then the income can be maximized. Thank you very much. Have a nice day.",,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,23,1,2,1,6,,1,1,61,,,50,19,0,9,5,Hello and good luck. I hope we both get a decent amount of money. It's my first time in such an experiment and I have no idea what's going to happen.,,1,0,1,0,0,0,1,0,0,0,0,0,1
141110_1515,0,26,1,2,1,10,,1,1,100,,,86,23,0,10,8,"Hello A. I will always choose ""Roll"". You can either trust me and we both might get a lot of money, or choose ""Out"". Your call. But I will always choose ""Roll"", because I want to have 30fr. instead of 15.-. It's much better if we both earn at least 30.- money than just me. :)",,1,1,1,1,1,0,1,0,0,0,0,0,1
141110_1515,0,27,1,2,1,0,,1,1,30,,,9,24,0,10,6,"Hello. :) If you feel like taking the risk of die = 1, go for IN and I will go for ROLL. I believe it is best for both!",,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,28,1,2,1,0,,1,1,20,,,70,26,0,10,6,Hallo! I think we would be better off if you choose IN. I intend to choose ROLL in the second phase.  The probability of both of us getting  30something CHF is 5 out of 6,,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,30,1,2,1,9,,1,1,65,,,75,21,1,10,5,"Hallo I m your Person B, I m going to choose ROLL everytime. I know my earning are going to be about 33% lower but I think this way we can both earn a bit more. Make good choises!",,1,1,1,1,0,0,1,0,0,0,0,0,1
141110_1515,0,34,1,2,1,7,,1,1,45,,,34,18,1,10,7,"I think, the probability that both of us get a lot of money is the highest, when you enter IN and I choose ROLL. (You would even get more than  me :))",,1,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,2,1,2,1,10,,1,1,80,9,,30,18,0,10,8,I will always choose ROLL,I will always choose ROLL,0,1,1,0,0,0,1,0,0,0,0,0,1
150303_1315,0,3,1,2,1,0,,1,1,71,,,29,19,1,10,6,"Hey! It would be best if you always decide for IN and I always decide for ROLL, this would mean a very high chance that both of us earn a lot of money :)","Hey! If you choose IN and I choose ROLL, we can both win the highest possible amount.",0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,6,1,2,1,5,,1,1,70,9,,70,23,0,5,6,"Hi, so here's the catch. From a probabilistic point of view best option would be A choses IN and B chooses ROLL, since there's a high chance of getting high payback on both sides. Therefore just know I'll always put ROLL. It's up to you if you wanna take the risk. Best.",I will always ROLL so that if you are IN we can maximize the total income.,0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,7,1,2,1,1,,1,1,40,3,,40,20,1,7,5,"please use a lot of ""in"" ",Please choose a lot of in :),0,0,0,0,0,0,1,0,0,0,0,0,1
150303_1315,0,8,1,2,1,10,,1,1,41,4,,65,23,0,10,11,"I know for sure I will earn 15 each round at least, I want to double the earnings and that is reasonably fair earning for me.I  will cooperate and I don't care about earning 12 more CHF than I could by cooperating","I will win at least 15 CHF, no matter what the outcome of the game is. I want to double my earnings and I don't care about the 12 CHF bonus I would get choosing DON'T ROLL.",0,1,1,0,0,0,1,0,0,0,0,0,1
150303_1315,0,10,1,2,1,0,,1,1,50,,,20,19,1,9,5,,,0,0,0,0,0,0,1,0,0,0,0,0,1
150303_1315,0,14,1,2,1,10,,1,1,40,10,,51,25,1,7,8,"Hi Person A! If you choose IN i promise you i will choose ROLL and not DON'T ROLL. Try to do this as often as possible, so the chances that the dice will roll 1 is little and we both earn a little more than 15 CHF ",If you choose in i will choose roll in all the 10 decisions,0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,17,1,2,1,8,,1,1,19,8,,50,25,1,9,7,"Always choose IN, and I will go for ROLL so we both can win more than 15 CHF ","Always choose IN, I will go for the option ROLL so we both can win more than 15 CHF",0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,19,1,2,1,9,,1,1,30,7,,37,20,1,10,7,i'm going to press ROLL. So there are chances that we both get more money than 15 francs.,I will always roll. So we can both get more money than 15 francs.,0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,22,1,2,1,3,,1,1,71,4,,40,20,0,10,6,"i hope you will be IN enough times for me to DON'T ROLL.    just kidding, have fun, and play fair ;)","Choose IN as many as possible, so I can DON'T ROLL enough to win more money... just kidding, have fun and play fair",0,0,0,0,1,0,1,0,0,0,0,0,1
150303_1315,0,24,1,2,1,0,,1,1,34,4,,18,21,1,10,6,,,0,0,0,0,0,0,1,0,0,0,0,0,1
150303_1315,0,27,1,2,1,10,,1,1,87,10,,100,28,1,8,6,i will chose roll (2-6) ,I will chose roll (2-6 ),0,1,1,0,0,0,1,0,0,0,0,0,1
150303_1315,0,28,1,2,1,9,,1,1,30,9,,30,31,1,10,7,hi. good luck. ,hi. good luck.,0,0,0,0,0,0,1,0,0,0,0,0,1
150303_1315,0,29,1,2,1,10,,1,1,65,6,,40,25,0,10,7,"Hi! I suggest we go for the last option - you go ""IN"" and I will go with ""ROLL"" for all decisions. That way we have the best chance for both of us to get some good money. Good luck! :)  ","Hi! I suggest you go with the ""IN"" option and I will go with the ""ROLL"" option. That way both of us can earn some decent amount of money. Good luck! :)",0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1315,0,32,1,2,1,0,,1,1,76,1,,86,25,1,9,6,"Hey, I think it would be rather boring to just always get 15. Right? Plus if you choose IN, you have a 2/3 chance of getting more than double the 15. I promise (weird to promise to a computer) to always pick ROLL, just a heads up :D","It would be boring to not roll so I promise that if you are in, I will always roll.",0,1,1,0,0,0,1,0,0,0,0,0,1
150303_1315,0,33,1,2,1,9,,1,1,60,7,,75,21,1,11,7,"Hi! Let's take risks! I guess I won't use don't roll so, its up to the die.",Let's be risky!,0,1,0,0,0,0,1,0,0,0,0,0,1
150303_1315,0,34,1,2,1,0,,1,1,68,9,,73,23,1,7,6,"I think our best chance is if you choose IN, then I will always choose ROLL. It's then more probable  we get 2-6 so we make the most money each. Ballin' ",I think our best chance of both making the most money is if you choose IN everytime. If I then choose roll out chances are the best.,0,1,1,1,0,0,1,0,0,0,0,0,1
150303_1515,0,3,1,1,1,10,,1,1,50,9,,30,23,0,10,7,"Hi! Please choose IN, I'll choose ROLL and let's hope on the chance :)","Hi! Please choose IN, I'll choose ROLL and let's hope on the chance :)",0,1,1,0,0,1,0,0,0,0,0,1,0
150303_1515,0,5,1,1,1,10,,1,1,18,10,,6,28,0,10,8,i will roll the dice for you :),i will roll the dice for you :),0,1,1,0,0,1,0,0,0,0,0,1,0
150303_1515,0,7,1,1,1,10,,1,1,50,8,,40,21,0,7,9,In and Roll. Best for both of us.,In and Roll. Best for both of us.,0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,9,1,1,1,10,,1,1,70,9,,67,25,0,8,5,"Hey, This is our stretegy for a win win solution. You always choose IN and always choose ROLL.This way I get 30 and you based on probabilty will get between 27 and 36. because the chances of 1 is very low in these ten decisions. So, lets do it. I assure you be happy at the end.","Hey, this is our strategy for a win-win solution. You always choose IN and I always choose ROLL. This way, I get CHF 30 and you based on probability will get between 27 to 36. Note that chances of dice 1 is very low in these 10 trials. So, let's do it. I assure you'll be happy at the end.",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,10,1,1,1,0,,1,1,5,0,,15,25,0,10,5,"I promise I will choose ROLL, so that we both will earn more money. By that I will earn  show up fee+30CH which is totally ok with me. You have high chance to win 36+show up fee.","I promise to choose ROLL. I will earn show up fee + 30CHF, which is totally ok with me. You will have a high chance to win show up fee + 36CHF.",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,11,1,1,1,3,,1,1,40,10,,68,21,0,9,8,,i did not write anything,0,0,0,0,0,1,0,0,0,0,0,1,0
150303_1515,0,12,1,1,1,10,,1,1,91,10,,60,28,0,10,8,"Hi. I think it makes more sense for both of us to choose ROLL at all times. in this case, you will get 36chf with 5/6 probability or 0 with 1/6 probability. I will get 30 chf. This is the case if you choose IN and you believe that I will choose ROLL. ",Hi. I think it makes more sense for both of us if you select IN in all cases and I select ROLL in all cases. In this way we will get 36 chf with 5/6 probability or 0 with 1/6 probability. I will get 30 chf and this is the case if you believe my intention to choose ROLL.,0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,15,1,1,1,0,,1,1,17,0,,16,21,0,10,8,"Hello, lets go for rolling the dice. For me, I would like to get more than 15 CHF. For you the chance is big that you will get 36 francs if we roll. You can trust me on rolling. I dont really care about the additional extra 12 francs. But 15 francs is a little bit small to spend one hour on. Damn, this keyboard sucks. Haha. Ok, hope you pick IN.","Hello, lets go for rolling the dice. I don't want the 15 francs. For you, the chance of getting 36 francs is really big. For me, it doesn't really matter, I don't care about the extra 12 francs. You can trust me on rolling. Damn, this keyboard sucks, haha",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,16,1,1,1,5,,1,1,65,8,,75,23,1,11,8,"If A always chooses in and B always chooses ROLL, there is a large possibility for both  A and B to get at least  30CHF for this part.","If A always chooses IN and B always chooses ROLL, there is a large chance for both A and B to get at least 30CHF.",0,0,0,1,0,1,0,0,0,0,0,1,0
150303_1515,0,17,1,1,1,2,,1,1,31,3,,18,24,1,8,8,Be free to choose IN. I promise I'll never choose don't roll to make sure that we both earn more money.,Be free to choose IN. I promise I'll never choose Don't Roll to make sure that we both earn more money.,0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,18,1,1,1,10,,1,1,60,10,,50,25,0,10,8,"I will always choose ROLL. That way we both will maximize our earnings if you always choose IN. I will be paid always 30CHF and you will be paid 36CHF 83% possibility (5 out of 6 numbers of the dice), which is equivaltent to 30CHF.","I will always choose ROLL. If you always choose IN we will both maximize our earnings. I will always win 30CHF, you will win 36CHF with 83% possibility which is equivalent to 30CHF.",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,19,1,1,1,0,,1,1,25,7,,15,22,0,10,8,"Hi !! Go for ""IN"" ALL THE 10 TIMES. Then we can Roll and have a chance to win more. MUCH MORE and MUCH BETTER CHANCE. Thanks and All the Best.",Hi !! Go for IN ALL THE TIME. Then we can go for rolling the dice. That way we have a better chance at earning more money. MUCH MORE MONEY AND MUCH BETTER CHANCE. Thanks and all the best.,0,0,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,27,1,1,1,0,,1,1,30,7,,19,20,0,10,9,"Hi there, I will press ROLL if you press IN. This will give you a 83% chance of winning 36 CHF instead of just 15 CHF and it will give me 30 CHF instead of just 15CHF, Thanks :)","Hi there, I press ROLL if you press IN. This way you have an 83% chance of winning 36 CHF instead of just 15 CHF and it will give me 30 CHF instead of 15 CHF. Thanks :)",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,31,1,1,1,3,,1,1,35,2,,25,21,0,6,7,"I will always chose Roll, so I hope you will always chose In ;) Then we can both make a good load of money :)","I will press roll at all decisions, so both of us can make a good load of money. It would be nice if you chose in everytime :)",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,32,1,1,1,0,,1,1,5,0,,35,25,1,11,8,"Dear Partner A, I can't do more than honestly promise you that i'll press ROLL in every of the 10 decisions. In that way we can get the most out of this for the two of us. For this to work you should go for IN, so let's do this together. Have a nice day and best wishes, your Partner B","Dear Partner A. I can't do more than honestly promise you to choose ROLL every time. In that way we can get the best out of this for the two of us. In order for this to work out I beg you to choose IN at least in a few of the 10 cases. Have a nice day and best wishes, your Partner B",0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,33,1,1,1,7,,1,1,75,10,,86,20,1,9,8,"hey :-) i guess it would be best for the both of us, if you would always chose IN so  when I always chose Roll the chance of us becoming more then only the 15 CHF are highes. Despite your descision I will always chose Roll. Promise! ",hey :-) I guess it would be best if you always choose IN so that i can choose roll and both of us have tha chance to earn more then the 15CHF.,0,1,1,1,0,1,0,0,0,0,0,1,0
150303_1515,0,34,1,1,1,10,,1,1,34,10,,44,19,1,10,9,hi... i think it's best to choose in and then roll... i promise you not to choose don't roll! lets do that in all 10 decisions. its best for you and me ;),I think it's best to choose in all 10 decisions in and roll. I promise not to choose don't roll! That's best for you and me...,0,1,1,1,0,1,0,0,0,0,0,1,0
170404_1008,1,1,1,1,1,0,,1,1,20,2,0,28,28,1,9,5,Hi,hi,0,0,0,0,0,1,0,0,0,0,0,1,0
170404_1008,1,3,1,1,1,7,,1,1,65,7,7,81,22,1,10,8,"Hello, I understand that if you choose OUT you would be guaranteed a payment, but , I'm hoping that you would be willing to make this gamble with me so that we both receive a higher payout (since at the end of the day, neither of us would be technically losing money). I'm agreeing now to choose ROLL so you have a 5/6 chance of earning more money than if you chose OUT.","I understand that if you choose OUT you are guaranteed a payment, but I am agreeing to choose ROLL if you choose IN. I'm hoping you'll be willing to take that gamble with me since technically neither of us would be losing money, and we have the potential to both earn more if we cooperate.",0,1,1,1,0,1,0,0,0,0,0,1,0
170404_1008,1,4,1,1,1,0,,1,1,10,3,6,30,30,0,10,9,Let's roll!!!!!!!!,Let's roll!!!!!,0,1,1,0,0,1,0,0,0,0,0,1,0
170404_1008,1,8,1,1,1,5,,1,1,60,6,10,60,28,0,11,5,"Hi - this seems to be a classic game theory experiment. If you choose out, then we both are ""at a loss and get only $15"". Alternatively, if you choose IN, then I will be incentivized to choose Roll because that will result in $30 to each of us (5/6*36 and 1/6*30 + 5/6*30). I wouldn't choose Don't Roll because that will incentivize you to choose Out and nobody gains anything from that.","This is a classic game theory experiment - if you choose Out, then we both get $15 and none of us are better off. However, if you choose In, then I will choose Roll and based on probability calculations, both of us stand to earn $30. I will not be incentivized to choose Don't roll because then you will be incentivized to choose Out in which case both of us lose.",0,1,1,1,0,1,0,0,0,0,0,1,0
170404_1008,1,9,1,1,1,0,,1,1,50,5,5,50,25,1,5,6,Hi,hi,0,0,0,0,0,1,0,0,0,0,0,1,0
170404_1008,1,12,1,1,1,10,,1,1,0,,5,48,38,0,9,7,"If you pick IN, I will roll every time. Your risk but also your reward. I will not choose DON'T ROLL.","If you pick in, I will always roll. You still have to trust that I will roll but I will not pick ""Don't Roll"".",0,1,1,0,0,1,0,0,0,0,0,1,0
170404_1106,1,2,1,2,1,10,,1,1,50,5,5,50,45,1,11,5,,I didn't write a message.,0,0,0,0,0,0,1,0,0,0,0,0,1
170404_1106,1,4,1,2,1,9,,1,1,50,5,5,50,45,0,0,0,working hard or we all go home. There is nothing to it but to do it.,Don't remember,0,0,0,0,0,0,1,0,0,0,0,0,1
170404_1106,1,5,1,2,1,10,,1,1,70,4,8,81,35,0,10,8,Good luck!  I love Las Vegas so you can figure out what I am going to choose,I like to go to Las Vegas if you know what I mean,0,0,0,0,0,0,1,0,0,0,0,0,1
170404_1106,1,6,1,2,1,10,,1,1,80,10,10,90,40,0,11,11,"Pleased to meet you, virtually. Have a great day! :)",Pleased to meet you and I look forward to collaborating with you on this. Have a great day!,0,0,1,0,0,0,1,0,0,0,0,0,1
170404_1106,1,8,1,2,1,6,,1,1,45,6,8,50,22,1,10,7,"I will choose ROLL every time, so you should choose IN",If you choose in every time I will choose roll,0,1,1,0,0,0,1,0,0,0,0,0,1
170404_1106,1,9,1,2,1,0,,1,1,90,9,5,100,24,1,10,8,,,0,0,0,0,0,0,1,0,0,0,0,0,1
170404_1106,1,11,1,2,1,0,,1,1,0,0,,51,23,1,10,5,I will choose roll. ,I will choose Roll,0,1,1,0,0,0,1,0,0,0,0,0,1
170406_1144,1,2,1,2,1,10,,1,1,45,0,10,51,26,0,10,7,"Ok, here's how I see it. I want us both to get more than $15 so I want you to feel safe to choose IN every time. I will guarantee choosing roll every time, and make a note of it. Then we both have basically a 5/6 chance of getting $30 or more. I know you would get 6 more but I would rather us both feel safe getting more than 15. Thanks, I hope you agree = )","Okay, here's what I think. I would rather get $30 than $15 and I know you would rather get more than $15. I would not mind that you get $6 more than me, but to give us both more than $15, I will guarantee to choose roll every time in 3 weeks. I'll make a note so I don't forget. I hope you agree : )",0,1,1,1,0,0,1,0,0,0,0,0,1
170406_1144,1,3,1,2,1,0,,1,1,0,,,,27,1,10,8,I will choose roll for all decisions. ,I will always roll,0,1,1,0,0,0,1,0,0,0,0,0,1
170406_1144,1,5,1,2,1,10,,1,1,85,10,9,90,30,0,10,7,"I think that the best way to ensure that we both earn an appreciable amount of money is through trust. If you choose IN for all 10 times, I can roll ten times. Thus the odds that we both receive $30 or $36 are pretty high. You will have only a 1 and 6 chance of earning zero dollaars. a 5 out of 6 chance that you get $36.","Based on the payout structure, it seems to be in the best interests of both of us to trust each other. This is the best way to ensure that we both earn an appreciable amount of money. If you play IN for all ten turns, I will opt to ROLL for all ten turns. This way you will earn $36 while I earn $30. You will have a 5 in 6 chance of earning $36 under that scenario.",0,1,1,1,0,0,1,0,0,0,0,0,1
170406_1144,1,7,1,2,1,10,,1,1,100,10,10,100,29,1,10,6,Hi! Would you like to work together? If you choose IN everytime I will select roll. This will give us the best chance to make the most money. Since we will only get paid for 1 out of 10 times. This will help you earn $36 and myself $30 most likley. Good luck!,Hi! Let's work together. If you say in I will roll in each time. It gives us both the best odds to both make the most money.,0,1,1,1,0,0,1,0,0,0,0,0,1
170406_1144,1,12,1,2,1,1,,1,1,69,7,2,62,59,0,4,9,my goal is to earn 50 dollars.good luck to boyh of us!,My goal was to make 40 dollars,0,0,0,0,0,0,1,0,0,0,0,0,1
170406_1144,1,13,1,2,1,10,,1,1,90,9,10,60,19,0,10,8,"Hey! I'm taking a game theory class right now and the best outcome for both of us is for you to choose IN and I'll choose to roll (5/6 of the time, we both get a great payoff). I promise to roll all 10 times -- hope you're IN :)","Something about being in a game theory class and maximizing both of our payoffs if they chose IN and I chose ROLL, and I promised to choose ROLL",0,1,1,1,0,0,1,0,0,0,0,0,1
170406_1144,1,14,1,2,1,0,,1,1,62,5,5,65,39,1,11,7,looking forward to making some money,Let's make money,0,0,0,0,0,0,1,0,0,0,0,0,1
170406_1252,1,1,1,1,1,10,,1,1,90,9,10,75,19,1,9,10,"Hi! The way I see it, this money was never mine in the first place. The difference between $42 and $30 is not large enough to constitute a decision for me to choose 'Don't Roll,' therefore I highly encourage you to choose IN rather than OUT so that we can both gain. Thanks! ","Hi! The way I see it, this money was never mine in the first place. The difference between $42 and $30 is big enough to ever constitute choosing Don't Roll, so I highly encourage you to choose IN rather than OUT so that we can both gain. Thanks!",0,1,1,1,0,1,0,0,0,0,0,1,0
