responses,open-code,uninformative,SDB,overest. others,underest. own,academic integrity,info asymmetry,AI discussion priming,privacy concerns,self-esteem,self-report bias,network effect,truthful
"Not sure, a lot of my friends do not use LLMs but I know a lot of my peers do.",NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
They are afraid of what people may think or they may feel like someone would view them as cheating.,"SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I guess they simply don't know much about what their friends do on the daily basis or how much their friends use LLMs to be exact.,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The exact details extracted from the LLMs database,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I think its social bias- students might downplay or be hesitant to confirm how much or the extent to which they use LLMs due to fear of being judged as being dishonest or lazy.
Some students might not be using or rarely uses  LLMs but believe everyone else is using them out of rumour and take it as the norm","SDB, academic integrity, overest.",F,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Because maybe they don’t think it’s ethical in someway,"SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I am not sure maybe people think they use them more then other people.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I think we like to judge others for their use and our perceptions of others is jaded when they tell us they use an outside source to help them on assignments, as we view it as a crutch. Yet we use the same crutch, most of us are self-reflective",self-reporting bias (favoring self in judgment),F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Their friends may not disclose to college students how much they use LLMs. Most people like to keep their usage a secret because they may feel ashamed or subpar compared to their peers if they tell others they use LLMs for their work.,"info asymmetry, SDB",F,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
People don't want to admit how much they personally are using but are more noticeable of people who do use it.,"overest., SDB",F,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
